,Artist,Name,Genre,Unnamed: 0,Weekly_rank_avg,Peak_Position,Weeks_on_Chart
48,ARIANA GRANDE,"BREAK UP WITH YOUR GIRLFRIEND, I'M BORED","TRAP,TRIP-HOP,LO-FI,R&;B,POP",0.007433792783026173,0.8099378881987578,0.01020408163265306,0.21176470588235294
49,HALSEY,NIGHTMARE,"ALTERNATIVE ROCK,ALTERNATIVE POP,ALTERNATIVE,POP-PUNK,POP",0.007588663466005886,0.8521739130434783,0.14285714285714282,0.047058823529411764
50,"YG, TYGA, JON Z",GO LOKO,"TRAP,PUERTO RICO,WEST COAST,RAP",0.007743534148985597,0.7747412008281575,0.48979591836734687,0.07058823529411765
51,LEWIS CAPALDI,SOMEONE YOU LOVED,"UK,POP",0.007898404831965309,0.9155279503105591,0.5306122448979591,0.058823529411764705
52,THOMAS RHETT,LOOK WHAT GOD GAVE HER,COUNTRY,0.008053275514945021,0.6726708074534162,0.31632653061224486,0.17647058823529413
53,JONAS BROTHERS,COOL,"TEEN POP,POP-ROCK,POP",0.008208146197924733,0.2211475894705709,0.26530612244897955,0.11764705882352941
54,OFFSET,CLOUT,"EAST COAST,MOTOWN,RAP",0.008363016880904444,0.9472049689440993,0.38775510204081626,0.11764705882352941
55,"MARSHMELLO, KANE BROWN",ONE THING RIGHT,POP,0.008517887563884156,0.2503105590062112,0.4877551020408163,0.17411764705882354
56,KANE BROWN,GOOD AS YOU,COUNTRY,0.008672758246863869,0.5268245341614907,0.3571428571428571,0.18823529411764706
57,YK OSIRIS,WORTH IT,"RAP,EAST COAST,R&;B",0.008827628929843581,0.5522981366459628,0.520408163265306,0.19999999999999998
58,DJ KHALED,JUST US,"RAP,R&;B",0.008982499612823294,0.6409937888198758,0.42857142857142855,0.047058823529411764
59,LUKE BRYAN,KNOCKIN' BOOTS,COUNTRY,0.009137370295803004,0.45093167701863357,0.5918367346938775,0.08235294117647059
60,P!NK,WALK ME HOME,POP,0.009292240978782717,0.3875776397515528,0.48979591836734687,0.17647058823529413
61,MAREN MORRIS,GIRL,"POP,COUNTRY,POP COUNTRY",0.009447111661762429,0.24239130434782613,0.5918367346938775,0.17647058823529413
62,5 SECONDS OF SUMMER,EASIER,"AUSTRALIA,POP",0.00960198234474214,0.8046583850931678,0.47959183673469385,0.03529411764705882
63,"CARDI B, BRUNO MARS",PLEASE ME,"RAP,EAST COAST,WEST COAST,SOUL POP,R&;B,POP",0.009756853027721852,0.3907453416149068,0.020408163265306124,0.19999999999999998
64,ERIC CHURCH,SOME OF IT,COUNTRY,0.009911723710701564,0.18846495119787046,0.6530612244897959,0.03529411764705882
65,DAN + SHAY,ALL TO MYSELF,COUNTRY,0.010066594393681277,0.8204968944099379,0.6632653061224489,0.07058823529411765
66,"BAD BUNNY, TAINY",CALLAITA,"POP,LATIN POP,DANCEHALL,REGGAETON,LATIN MUSIC,LATIN URBAN,PUERTO RICO,EN ESPA\XC3\XB1OL",0.010221465076660989,0.3946169772256728,0.6836734693877551,0.011764705882352941
67,MEEK MILL,24/7,"EAST COAST,UK,R&;B,RAP",0.0103763357596407,0.9683229813664598,0.5408163265306122,0.11764705882352941
68,ALI GATIE,IT'S YOU,R&;B,0.010531206442620412,0.7149068322981367,0.7040816326530611,0.0
69,JASON ALDEAN,REARVIEW TOWN,COUNTRY,0.010686077125600124,0.12940993788819877,0.6836734693877551,0.03529411764705882
70,LIL BABY,OUT THE MUD,"ATLANTA,TRAP,RAP",0.010840947808579835,0.23024844720496895,0.4163265306122449,0.21647058823529414
71,"THE CHAINSMOKERS, BEBE REXHA",CALL YOU MINE,"ELECTRONIC POP,EDM,ELECTRO HOUSE,ELECTRO,ELECTRO-POP,ELECTRONIC,DANCE-POP,DANCE,POP",0.010995818491559547,0.01342155009451796,0.673469387755102,0.023529411764705882
72,"SUMMER WALKER, DRAKE",GIRLS NEED LOVE,"ATLANTA,CANADA,REMIX,R&;B",0.01115068917453926,0.40236024844720497,0.36734693877551017,0.18823529411764706
73,"LUNAY, DADDY YANKEE, BAD BUNNY",SOLTERA,"REGGAETON,LATIN MUSIC,LATIN URBAN,PUERTO RICO,LATIN POP,EN ESPA\XC3\XB1OL,POP",0.011305559857518972,0.17903726708074535,0.7346938775510203,0.058823529411764705
74,FLORIDA GEORGIA LINE,TALK YOU OUT OF IT,COUNTRY,0.011460430540498685,0.23922360248447205,0.7346938775510203,0.19999999999999998
75,SHAED,TRAMPOLINE,POP,0.011615301223478395,0.7782608695652175,0.7755102040816326,0.023529411764705882
76,"YELLA BEEZY, GUCCI MANE, QUAVO",BACC AT IT AGAIN,"HIP-HOP,RAP",0.011770171906458108,0.570600414078675,0.7857142857142856,0.03529411764705882
77,BEYONCE,BEFORE I LET GO,"BOUNCE,COVER,SOUNDTRACK,POP,SOUL POP,SOUL,FUNK,R&;B",0.01192504258943782,0.2925465838509317,0.6530612244897959,0.09411764705882353
78,DJ KHALED,WISH WISH,"ATLANTA,TRAP,RAP",0.01207991327241753,0.8732919254658386,0.18367346938775508,0.047058823529411764
79,CHRIS YOUNG,RAISED ON COUNTRY,COUNTRY,0.012234783955397243,0.9419254658385093,0.8163265306122448,0.023529411764705882
80,TRAVIS SCOTT,WAKE UP,"TRAP,R&;B,CANADA,RAP",0.012389654638376955,0.734968944099379,0.2959183673469387,0.023529411764705882
81,SECH,OTRO TRAGO,"DANCEHALL,REGGAETON,LATIN MUSIC,LATIN URBAN,EN ESPA\XC3\XB1OL,PUERTO RICO,LATIN POP,POP",0.012544525321356668,0.6557763975155281,0.8163265306122448,0.011764705882352941
82,CHASE RICE,EYES ON YOU,COUNTRY,0.01269939600433638,0.5776397515527951,0.37755102040816324,0.19999999999999998
83,BRYCE VINE,LA LA LAND,"POP,RAP,HIP-HOP,R&;B",0.01285426668731609,0.6726708074534162,0.8571428571428571,0.023529411764705882
84,BILLIE EILISH,OCEAN EYES,"ALTERNATIVE DANCE,SYNTH-POP,AMBIENT,INDIE POP,ALTERNATIVE POP,ALTERNATIVE,POP",0.013009137370295803,0.5943581780538303,0.846938775510204,0.18823529411764706
85,MARSHMELLO,HERE WITH ME,"PROGRESSIVE HOUSE,HOUSE,ELECTRO HOUSE,ELECTRONIC POP,ALTERNATIVE POP,ELECTRONIC,DUBSTEP,DANCE,ELECTRO,ELECTRONICA,ELECTRO-POP,EDM,SYNTH-POP,POP",0.013164008053275516,0.26086956521739135,0.3061224489795918,0.16470588235294117
86,BRETT ELDREDGE,LOVE SOMEONE,COUNTRY,0.013318878736255226,0.7254658385093168,0.520408163265306,0.09411764705882353
87,LIL UZI VERT,SANGUINE PARADISE,"EAST COAST,TRAP,RAP",0.013473749419234939,0.7719254658385094,0.2755102040816326,0.10588235294117646
88,ELI YOUNG BAND,LOVE AIN'T,COUNTRY,0.013628620102214651,0.9366459627329193,0.5,0.10588235294117646
89,"PEDRO CAPO, FARRUKO",CALMA,"PUERTO RICO,REGGAETON,LATIN MUSIC,LATIN POP,LATIN URBAN,REMIX,EN ESPA\XC3\XB1OL,POP",0.013783490785194363,0.6596751075011945,0.7142857142857142,0.15294117647058822
90,JONAS BROTHERS,ONLY HUMAN,POP,0.013938361468174076,0.9788819875776398,0.9183673469387754,0.011764705882352941
91,JUSTIN MOORE,THE ONES THAT DIDN'T MAKE IT BACK HOME,COUNTRY,0.014093232151153786,0.8099378881987578,0.9387755102040816,0.0
92,MEGAN THEE STALLION,BIG OLE FREAK,RAP,0.014248102834133499,0.6937888198757765,0.6530612244897959,0.11764705882352941
93,NAV,TAP,"CANADA,EAST COAST,RAP",0.014402973517113211,0.7423602484472049,0.8979591836734693,0.011764705882352941
94,DJ KHALED,YOU STAY,"ATLANTA,R&;B,LATIN MUSIC,EN ESPA\XC3\XB1OL,RAP",0.014557844200092922,0.7062111801242236,0.43877551020408156,0.023529411764705882
95,"OZUNA, DADDY YANKEE, J BALVIN, FARRUKO, ANUEL AA",BAILA BAILA BAILA,"LATIN POP,REGGAETON,REMIX,PUERTO RICO,EN ESPA\XC3\XB1OL,LATIN URBAN,LATIN MUSIC,POP",0.014712714883072634,0.2620427881297447,0.693877551020408,0.08235294117647059
96,MEGAN THEE STALLION,CASH SHIT,"EAST COAST,RAP",0.014867585566052346,0.6832298136645963,0.4530612244897959,0.12705882352941175
