,Artist,Name,Weekly_rank_avg,Peak_Position,Weeks_on_Chart,Week,Date,Genre,Features
1924,OneRepublic,I Lived,66.89285714285714,32.0,17.0,2015-04-03,"September 23, 2014","Screen,Soundtrack,Folk Rock,Folk,Pop-Rock,Pop,Rock",
1925,Kendrick Lamar,These Walls,25.0,,,2015-04-03,"October 13, 2015","Screen,Producer,R&;B,East Coast,Soul,Neo Soul,Funk,Jazz-Funk,Jazz Fusion,Conscious Hip-Hop,West Coast,Rap","Bilal, Anna Wise, Thundercat"
1926,Kendrick Lamar,Institutionalized,39.23529411764706,,,2015-04-03,"March 15, 2015","Producer,East Coast,Conscious Hip-Hop,West Coast,Rap","Bilal, Anna Wise, Snoop Dogg"
1927,James Newton Howard,The Hanging Tree,62.0,12.0,17.0,2015-04-03,"November 17, 2014","Soundtrack,Folk,Pop,Screen,Literature",Jennifer Lawrence
1928,Ella Henderson,Ghost,40.25,21.0,20.0,2015-03-27,"March 1, 2014","Soul,Adult Contemporary,Adult Alternative,Blue-Eyed Soul,R&;B,Brit Pop,Soul Pop,Pop",
1929,Jessie J,Masterpiece,35.42307692307692,65.0,3.0,2015-03-27,"October 13, 2014","UK,Pop",
1930,Empire Cast,Conqueror,75.25,42.0,2.0,2015-03-27,"March 4, 2015","TV,Screen,R&;B","Estelle, Jussie Smollett"
1931,Jake Owen,What We Ain't Got,72.4,89.0,11.0,2015-03-27,"December 3, 2013","Country,R&;B,Rock",
1932,"Ariana Grande, The Weeknd",Love Me Harder,95.0,7.0,22.0,2015-03-20,"September 30, 2014","R&;B,Alternative R&;B,Synth-Pop,Synthwave",
1933,Florida Georgia Line,Sun Daze,59.0,44.0,20.0,2015-03-20,"September 16, 2014","Country,Rock",
1934,Randy Houser,Like A Cowboy,56.785714285714285,62.0,14.0,2015-03-20,"May 19, 2014",Country,
1935,Eric Church,Talladega,11.711538461538462,43.0,20.0,2015-03-20,"September 15, 2014",Country,
