,Artist,Name,Weekly_rank_avg,Peak_Position,Weeks_on_Chart,Week,Date,Genre,Features
3243,Luke Bryan,Someone Else Calling You Baby,84.36363636363636,56.0,20.0,2011-03-24,,"Country,Rock",
3244,Dr. Dre,Kush,42.666666666666664,34.0,17.0,2011-03-24,"November 18, 2010","Producer,West Coast,Rap","Snoop Dogg, Akon"
3245,Usher,DJ Got Us Fallin' In Love,54.9,4.0,34.0,2011-03-17,"July 13, 2010","R&;B,Pop",Pitbull
3246,Katy Perry,Teenage Dream,74.0909090909091,1.0,33.0,2011-03-17,"July 23, 2010","Bubblegum Pop,Teen Pop,Dance-Pop,Power Pop,Electro-Pop,Pop",
3247,Gorilla Zoe,Twisted,59.0625,,,2011-03-17,,Rap,Lil Jon
3248,Chris Medina,What Are Words,82.78571428571429,,,2011-03-17,"February 25, 2011",Rock,
3249,Sick Puppies,Maybe,96.0,56.0,15.0,2011-03-17,"January 1, 2010",Rock,
3250,WILLOW,Whip My Hair,55.55,11.0,18.0,2011-03-17,"October 26, 2010",Rap,
3251,Aaron Lewis,Country Boy,91.0,87.0,2.0,2011-03-17,"December 9, 2010",Country,"George Jones, Charlie Daniels"
3252,The JaneDear Girls,Wildflower,24.5,60.0,8.0,2011-03-17,"April 26, 2010",Country,
3253,Joe Nichols,The Shape I'm In,76.45454545454545,91.0,2.0,2011-03-17,"July 19, 2010",Country,
3254,The Lonely Island,I Just Had Sex,92.77777777777777,30.0,11.0,2011-03-17,"May 10, 2011","Electro-Pop,Electronic,Satire,Electro,Comedy,Rap",Akon
3255,WILLOW,21st Century Girl,51.770833333333336,,,2011-03-17,"March 1, 2011",Pop,
3256,Dev,Bass Down Low,74.16129032258064,61.0,12.0,2011-03-17,"December 6, 2010",Rap,The Cataracs
3257,Glee Cast,Don't You Want Me,69.55555555555556,,,2011-03-10,"March 8, 2011","Cover,Electro-Pop,Screen,Soundtrack,Pop",
3258,Nelly,Just A Dream,74.1,3.0,28.0,2011-03-10,"August 17, 2010","Pop,R&;B,Hip-Hop,Rap",
3259,Glee Cast,Blame It,72.6875,,,2011-03-10,"March 8, 2011","Cover,Screen,Soundtrack,Pop",
3260,Glee Cast,Tik Tok,75.5,,,2011-03-10,"March 8, 2011","Soundtrack,Cover,Pop",
3261,Lloyd,Lay It Down,75.0,64.0,19.0,2011-03-10,"August 31, 2010","R&;B,Rap",
3262,David Guetta,Who's That Chick?,71.91666666666667,51.0,9.0,2011-03-10,"November 22, 2010",Pop,Rihanna
3263,Kanye West Jay Z,H*A*M,100.0,23.0,7.0,2011-03-10,"January 11, 2011","East Coast,Orchestral,Trap,Rap",
3264,Justin Bieber,U Smile,85.4,27.0,4.0,2011-03-10,"August 9, 2010","Canada,Pop",
3265,"Mumford, Sons",Little Lion Man,71.66666666666667,45.0,22.0,2011-03-03,"August 11, 2009","UK,Rock",
3266,Glee Cast,Baby,36.03448275862069,,,2011-03-03,"November 9, 2010","Christmas,Cover,LGBTQ+,TV,Screen,Soundtrack,Pop",
3267,Glee Cast,Take Me Or Leave Me,38.91304347826087,,,2011-03-03,"March 8, 2011","Soundtrack,Musicals,Cover,Pop",
3268,Justin Bieber,Born To Be Somebody,54.75,,,2011-03-03,"February 14, 2011","Canada,Pop",
3269,Jay Sean,Hit The Lights,14.142857142857142,18.0,2.0,2011-03-03,,"R&;B,Rap",Lil Wayne
3270,Troop 41,Do The John Wall,20.166666666666668,76.0,8.0,2011-03-03,"January 18, 2011",Rap,
3271,Glee Cast,Thriller / Heads Will Roll,22.428571428571427,38.0,2.0,2011-02-24,"March 8, 2011","Mashup,Screen,Soundtrack,Rock,Cover,Pop",
3272,Glee Cast,"Bills, Bills, Bills",25.0,44.0,2.0,2011-02-24,"April 19, 2011","Cover,Screen,Soundtrack,Pop",
3273,Glee Cast,Silly Love Songs,72.52941176470588,,,2011-02-24,"April 19, 2011","Screen,Soundtrack,Cover,Pop",
3274,Glee Cast,When I Get You Alone,45.4,,,2011-02-24,"April 19, 2011","TV,Soundtrack,Screen,Cover,Pop",
3275,Glee Cast,Fat Bottomed Girls,70.3529411764706,,,2011-02-24,"March 8, 2011","TV,Cover,Soundtrack,Pop",
3276,Glee Cast,Need You Now,71.94117647058823,62.0,2.0,2011-02-24,"February 6, 2011","Cover,Soundtrack,Screen,Country,Pop",
3277,Rick Ross,Aston Martin Music,100.0,30.0,20.0,2011-02-24,"October 5, 2010","Canada,Rap","Drake, Chrisette Michele"
3278,Keith Urban,Put You In A Song,91.0,53.0,20.0,2011-02-24,,"Country,Rock",
3279,Glee Cast,She's Not There,94.0,,,2011-02-24,"March 8, 2011","Soundtrack,Screen,Indie Rock,Cover,Pop",
3280,Lupe Fiasco,Words I Never Said,98.5,,,2011-02-24,"February 8, 2011","Pop,Conscious Hip-Hop,Rap",Skylar Grey
3281,Twista,Make A Movie,80.18181818181819,71.0,14.0,2011-02-24,"August 24, 2010","R&;B,Rap",Chris Brown
3282,Plain White T's,Rhythm of Love,33.906976744186046,38.0,21.0,2011-02-17,"October 3, 2010",Rock,
3283,Mike Posner,Please Don't Go,25.666666666666668,16.0,20.0,2011-02-17,"June 9, 2010","Electro-Pop,Pop",
3284,3 Doors Down,When You're Young,15.277777777777779,,,2011-02-17,"February 1, 2011",Rock,
3285,The Lonely Island,The Creep,35.888888888888886,,,2011-02-17,"May 10, 2011","Electro,Comedy,Rap",Nicki Minaj
3286,Toby Keith,Bullets In The Gun,87.61538461538461,83.0,14.0,2011-02-17,,"Country,Rock",
3287,Panic! At The Disco,The Ballad Of Mona Lisa,72.04545454545455,,,2011-02-17,"February 1, 2011","Baroque Pop,Power Pop,Alternative Pop,Alternative,Pop-Rock,Punk Rock,Alternative Rock,Pop-Punk,Rock",
3288,Nicki Minaj,Right Thru Me,36.85,26.0,19.0,2011-02-17,"September 24, 2010","R&;B,Rap",
3289,David Guetta,Memories,34.76315789473684,46.0,18.0,2011-02-17,"March 29, 2010","Dance,Rap,Pop",Kid Cudi
3290,Birdman,Fire Flame,71.25,64.0,10.0,2011-02-17,"November 22, 2010",Rap,Lil Wayne
3291,Lil Wayne,Right Above It,21.55,6.0,24.0,2011-02-10,"September 27, 2010",Rap,Drake
3292,Florence + The Machine,Dog Days Are Over,30.31578947368421,21.0,20.0,2011-02-10,"July 3, 2009","Alternative Rock,Alternative,Indie Pop,Indie Rock,Art Pop,Art Rock,Rock",
3293,Trey Songz,Can't Be Friends,80.75,43.0,20.0,2011-02-10,"September 28, 2010","Soul,Neo Soul,R&;B",
3294,Eric Church,Smoke A Little Smoke,68.61111111111111,78.0,20.0,2011-02-10,"June 21, 2010","Country,Rock",
3295,"Yolanda Be Cool, Dcup",We No Speak Americano,26.352941176470587,29.0,20.0,2011-02-10,"February 27, 2010","Memes,Pop",
3296,Rise Against,Help Is On The Way,61.05882352941177,,,2011-02-10,"January 1, 2011",Rock,
3297,Carrie Underwood,Mama's Song,84.5,56.0,19.0,2011-02-10,"September 13, 2010",Country,
3298,Bruno Mars,Marry You,63.94444444444444,85.0,9.0,2011-02-10,"August 15, 2011",Pop,
3299,Nicki Minaj,Roman's Revenge,85.0,56.0,5.0,2011-02-10,"October 30, 2010",Rap,Eminem
3300,Victorious Cast,Freak The Freak Out,94.08333333333333,50.0,6.0,2011-02-03,"November 19, 2010","TV,Screen,Hi-Nrg,Dance-Pop,Synth-Pop,Teen Pop,Electro-Pop,Pop-Rock,Electronic Rock,Soundtrack,Pop",Victoria Justice
3301,The Black Keys,Tighten Up,53.0,87.0,4.0,2011-02-03,"April 17, 2010","Grunge,Blues Rock,Alternative Rock,Alternative,Rock",
3302,"Garrett Hedlund, Leighton Meester",Give In To Me,80.66666666666667,79.0,2.0,2011-02-03,"November 8, 2010",Pop,
3303,Yellowcard,"For You, And Your Denial",98.5,,,2011-02-03,"January 18, 2011",Rock,
3304,Flo Rida,Club Can't Handle Me,74.0,9.0,29.0,2011-01-27,"June 28, 2010",Rap,David Guetta
3305,Gwyneth Paltrow,Country Strong,28.516129032258064,81.0,2.0,2011-01-27,"July 26, 2010","Country,Screen",
3306,George Strait,The Breath You Take,18.25925925925926,63.0,20.0,2011-01-27,,"Country,Rock",
3307,Reba,Turn On The Radio,56.5,53.0,18.0,2011-01-27,,Country,
3308,Sugarland,Stuck Like Glue,87.0,17.0,24.0,2011-01-20,"October 19, 2010","Pop Country,Country,Rock",
3309,Eminem,Love The Way You Lie,76.35,1.0,29.0,2011-01-20,"June 18, 2010","Ballad,Pop,Rap",Rihanna
3310,Jason Aldean,My Kinda Party,83.5,39.0,20.0,2011-01-20,"August 16, 2010","Country,Rock",
3311,Miranda Lambert,Only Prettier,42.0,61.0,19.0,2011-01-20,"July 26, 2010","Country,News",
3312,Brad Paisley,Anything Like Me,95.0,48.0,19.0,2011-01-20,,"Country,Rock",
3313,My Darkest Days,Porn Star Dancing,54.23529411764706,90.0,7.0,2011-01-20,"June 21, 2010","Rock,Rap",Zakk Wylde
3314,T.I.,That's All She Wrote,31.526315789473685,18.0,5.0,2011-01-20,"December 7, 2010",Rap,Eminem
3315,The Ready Set,Love Like Woe,53.45,27.0,21.0,2011-01-13,"March 31, 2010","Pop,Synth-Pop",
3316,Chris Brown,Deuces,77.93333333333334,14.0,27.0,2011-01-13,"June 25, 2010","West Coast,DMV,R&;B,Rap","Tyga, Kevin McCall"
3317,Kanye West,Runaway,89.5,12.0,13.0,2011-01-13,"October 4, 2010","Producer,Rap",Pusha T
3318,"Selena Gomez, The Scene",A Year Without Rain,77.15,35.0,8.0,2011-01-13,"September 7, 2010","Electro,Dance-Pop,Dance,Eurodance,Synth-Pop,Electro-Pop,Pop",
3319,Big Time Rush,Big Night,92.0,,,2011-01-13,,"West Coast,Teen Pop,Boy Band,Pop",
3320,Rascal Flatts,Why Wait,23.821428571428573,48.0,20.0,2011-01-13,"August 2, 2010","Country,Rock",
3321,Jesse McCartney,Shake,68.9047619047619,54.0,12.0,2011-01-13,"September 21, 2010",R&;B,
3322,"will.i.am, Nicki Minaj",Check It Out,13.217391304347826,24.0,15.0,2011-01-13,"September 3, 2010","Producer,Rap",
3323,Chiddy Bang,Opposite Of Adults,61.91428571428571,90.0,2.0,2011-01-13,"October 29, 2009",Rap,
3324,Zac Brown Band,As She's Walking Away,64.0,32.0,20.0,2011-01-06,"August 23, 2010",Country,Alan Jackson
3325,3OH!3,Hit It Again,10.565217391304348,,,2011-01-06,"December 21, 2010",Pop,
3326,Kid Cudi,Pursuit Of Happiness,68.33333333333333,59.0,3.0,2011-01-06,"September 15, 2009","Conscious Hip-Hop,Chill,Neo-Psychedelia,R&;B,Rap","MGMT, Ratatat"
3327,Train,Shake Up Christmas,46.0,,,2011-01-06,"November 1, 2010","Christmas,Rock",
3328,Coldplay,Christmas Lights,85.0,25.0,3.0,2010-12-30,"December 1, 2010","Alternative,Alternative Rock,Christmas,Ballad,Rock",
3329,Miguel,All I Want Is You,78.10526315789474,58.0,14.0,2010-12-30,"May 25, 2010","Soul,Soul Pop,R&;B,Rap",J. Cole
3330,Diddy,Loving You No More,71.66666666666667,91.0,2.0,2010-12-30,"December 14, 2010","Rap,Pop",
3331,R. Kelly,When A Woman Loves,67.66666666666667,,,2010-12-30,"September 7, 2010","Soul Pop,Soul,Pop,R&;B",
3332,Daughtry,September,73.15789473684211,36.0,20.0,2010-12-30,"June 1, 2010",Rock,
3333,Shakira,Loca,84.92857142857143,32.0,11.0,2010-12-30,"September 10, 2010","Latin Pop,Merengue,Pop",Dizzee Rascal
3334,Sean Kingston,Letting Go,45.13636363636363,36.0,20.0,2010-12-30,"August 3, 2010",Rap,Nicki Minaj
3335,Glee Cast,"Baby, It's Cold Outside",68.875,57.0,2.0,2010-12-30,"November 9, 2010","Christmas,Cover,LGBTQ+,TV,Screen,Soundtrack,Pop",
3336,Mariah Carey,Oh Santa!,99.0,,,2010-12-30,"October 1, 2010","Christmas,Holiday,R&;B,Pop",
3337,Glee Cast,Welcome Christmas,95.0,,,2010-12-23,,Pop,
3338,Natasha Bedingfield,Strip Me,45.0,91.0,4.0,2010-12-23,"August 31, 2010",Pop,
3339,Ne,One In A Million,52.2,87.0,7.0,2010-12-23,,R&;B,
3340,Glee Cast,"Hey, Soul Sister",71.75,,,2010-12-16,"April 19, 2011","Easy Listening,Screen,TV,Soundtrack,Teen Pop,Pop",
3341,Glee Cast,The Time Of My Life,38.04347826086956,,,2010-12-16,"November 30, 2010","Cover,Screen,Soundtrack,Pop",
3342,Glee Cast,Valerie,84.6,,,2010-12-16,"November 26, 2010","TV,Soul,Cover,Soundtrack,Screen,Pop",
3343,The Killers,Boots,71.78947368421052,,,2010-12-16,"November 30, 2010",Rock,
3344,Glee Cast,Don't Cry For Me Argentina,56.1,,,2010-12-16,"November 30, 2010","Screen,Soundtrack,Pop",
3345,Glee Cast,Singing In The Rain / Umbrella,71.5,18.0,3.0,2010-12-16,"November 16, 2010",Pop,Gwyneth Paltrow
3346,Ke$ha,Take It Off,41.61904761904762,8.0,20.0,2010-12-09,"January 1, 2010","Electronic Pop,Electronic,Electro,Dance-Pop,Electro-Pop,Pop",
3347,Christina Aguilera,Show Me How You Burlesque,70.0,,,2010-12-09,"November 11, 2010","Soundtrack,Pop",
3348,Usher,Hot Tottie,74.76470588235294,21.0,16.0,2010-12-09,"July 20, 2010","R&;B,Pop",Jay
3349,Darius Rucker,Come Back Song,78.9,37.0,20.0,2010-12-09,,"Country,Rock",
3350,Ke$ha,Crazy Beautiful Life,59.375,,,2010-12-09,"November 19, 2010",Pop,
3351,Sara Bareilles,King Of Anything,16.94736842105263,32.0,22.0,2010-12-02,"May 10, 2010","Pop-Rock,Piano,Indie Pop,Pop,Rock",
3352,Nelly,Liv Tonight,72.66666666666667,,,2010-12-02,,Pop,Keri Hilson
3353,Easton Corbin,Roll With It,74.33333333333333,55.0,19.0,2010-12-02,"March 2, 2010",Country,
3354,New Hollow,Sick,89.14285714285714,86.0,3.0,2010-12-02,,Pop,
3355,Trace Adkins,This Ain't No Love Song,71.06666666666666,88.0,6.0,2010-12-02,"May 17, 2010",Country,
3356,Glee Cast,Start Me Up / Livin' On A Prayer,60.0,,,2010-11-25,"November 9, 2010",Pop,
3357,Glee Cast,Stop! In The Name Of Love / Free Your Mind,33.05,,,2010-11-25,"November 9, 2010",Pop,
3358,Glee Cast,One Love,77.875,,,2010-11-25,"November 26, 2010","Screen,TV,Reggae,Soundtrack,Cover,Pop",
3359,Mike Posner,Cooler Than Me,46.45,6.0,29.0,2010-11-25,"December 15, 2009","Electro-Pop,Pop",
3360,Katy Perry,California Gurls,54.214285714285715,1.0,27.0,2010-11-25,"May 7, 2010","Dance-Pop,Funk-Pop,Disco,Pop",Snoop Dogg
3361,Kid Cudi,Marijuana,72.76470588235294,,,2010-11-25,"November 9, 2010","R&;B,Rap",
3362,Ke$ha,Cannibal,78.75,,,2010-11-25,"November 19, 2010","Electro,Pop",
3363,Kid Cudi,Scott Mescudi Vs. The World,60.875,,,2010-11-25,"November 9, 2010","R&;B,Rap",Cee
3364,Jazmine Sullivan,Holding You Down,92.66666666666667,60.0,12.0,2010-11-25,"July 10, 2010","R&;B,Rap",
3365,B.o.B,Airplanes,98.0,2.0,30.0,2010-11-18,"April 13, 2010","Gaming,Soundtrack,Pop,Rap",Hayley Williams
3366,Rodney Atkins,Farmer's Daughter,84.0,47.0,21.0,2010-11-18,"March 29, 2010",Country,
3367,T.I.,Get Back Up,75.0,,,2010-11-18,"October 29, 2010",Rap,Chris Brown
3368,YG,Toot It And Boot It,96.0,67.0,11.0,2010-11-18,"June 8, 2010",Rap,
3369,Adam Lambert,If I Had You,31.80392156862745,30.0,20.0,2010-11-18,"May 11, 2010","Electronic,Electronic Pop,Dance,Pop",
3370,3OH!3,Double Vision,59.75,87.0,4.0,2010-11-18,"June 15, 2010","Dance-Pop,Pop",
3371,Jay Sean,2012,30.5,31.0,14.0,2010-11-18,"August 3, 2010","R&;B,Rap",Nicki Minaj
3372,Monica,Love All Over Me,79.6,58.0,17.0,2010-11-18,"May 31, 2010","R&;B,Pop",
3373,Taylor Swift,Innocent,49.285714285714285,,,2010-11-11,"September 12, 2010","Country,Pop",
3374,Taylor Swift,Dear John,14.782608695652174,,,2010-11-11,"October 25, 2010","Rock,Country,Pop",
3375,Taylor Swift,Better Than Revenge,72.0,,,2010-11-11,"October 25, 2010","Alternative Rock,Pop-Punk,Pop-Rock,Country",
3376,Taylor Swift,Last Kiss,31.925925925925927,,,2010-11-11,"October 25, 2010","Country,Pop",
3377,Taylor Swift,Enchanted,53.55555555555556,,,2010-11-11,"October 25, 2010","Pop-Rock,Country",
3378,Kid Cudi,Mr. Rager,96.0,,,2010-11-11,"November 9, 2010","R&;B,Rap",
3379,Taylor Swift,Never Grow Up,22.818181818181817,,,2010-11-11,"October 25, 2010","Country,Pop",
3380,Taylor Swift,Long Live,65.11764705882354,,,2010-11-11,"October 25, 2010","Power Pop,Rock,Country",
3381,Glee Cast,Time Warp,18.735294117647058,,,2010-11-11,"October 19, 2010","Screen,TV,Soundtrack,Cover,Musicals,Pop",
3382,Michael Buble,Hollywood,69.55555555555556,55.0,2.0,2010-11-11,"September 7, 2010","Jazz,Pop",
3383,Josh Turner,All Over Me,47.78947368421053,59.0,18.0,2010-11-11,"February 9, 2010","Country,Rock",
3384,Eminem,Not Afraid,66.44444444444444,1.0,25.0,2010-11-04,"April 29, 2010","Soundtrack,Pop,Rap",
3385,Train,If It's Love,96.75,34.0,20.0,2010-11-04,,Rock,
3386,Hannah Montana,Gonna Get This,40.61538461538461,,,2010-11-04,"October 15, 2010","Disney,Soundtrack,Pop",Iyaz
3387,Kings Of Leon,The End,53.0625,,,2010-11-04,"October 15, 2010",Rock,
3388,Josh Thompson,Way Out Here,51.15,85.0,9.0,2010-11-04,,Pop,
3389,Taylor Swift,Speak Now,60.3,8.0,3.0,2010-11-04,"October 25, 2010","Country,Pop",
3390,Lady Antebellum,Our Kind Of Love,69.85,51.0,20.0,2010-11-04,"May 31, 2010","Pop,Country",
3391,Blake Shelton,All About Tonight,28.451612903225808,37.0,19.0,2010-11-04,,"Country,Rock",
3392,T.I.,Got Your Back,72.0,38.0,20.0,2010-11-04,"June 1, 2010",Rap,Keri Hilson
3393,Glee Cast,Lucky,68.6,,,2010-10-28,"November 26, 2010","Adult Contemporary,Easy Listening,TV,Screen,Soundtrack,Cover,Pop",
3394,Glee Cast,"River Deep, Mountain High",52.61290322580645,,,2010-10-28,"November 26, 2010","TV,Screen,Cover,Soundtrack,Pop",
3395,Glee Cast,Happy Days Are Here Again / Get Happy,81.77777777777777,,,2010-10-28,"October 12, 2010",Pop,
3396,Nelly,Move That Body,34.65,,,2010-10-28,"October 12, 2010","Synth-Pop,Rap",T
3397,Drake,Miss Me,73.0,15.0,20.0,2010-10-28,"June 1, 2010","Alternative R&;B,R&;B,Canada,Rap",Lil Wayne
3398,Nicki Minaj,Your Love,44.0,14.0,20.0,2010-10-28,"June 1, 2010","Pop,Rap",
3399,Billy Currington,Pretty Good At Drinkin' Beer,65.3076923076923,41.0,20.0,2010-10-28,"September 21, 2010","Country,Rock",
3400,Little Big Town,Little White Church,23.523809523809526,59.0,20.0,2010-10-28,"August 24, 2010","Country,Rock",
3401,Glee Cast,Le Jazz Hot,79.1,,,2010-10-28,"October 12, 2010",Pop,
3402,Lil Wayne,Gonorrhea,42.31666666666667,17.0,3.0,2010-10-28,"September 27, 2010",Rap,Drake
3403,Kanye West,POWER,77.85714285714286,22.0,16.0,2010-10-28,"May 28, 2010","Producer,Pop,Rap",
3404,Linkin Park,The Catalyst,18.489795918367346,27.0,10.0,2010-10-28,"September 8, 2010","Nu-Metal,Alternative Rock,Electronic Rock,Electronic,Rock",
3405,Glee Cast,I Want To Hold Your Hand,14.689655172413794,,,2010-10-21,"November 26, 2010","TV,Screen,Cover,Soundtrack,Pop",
3406,Glee Cast,One Of Us,81.0,,,2010-10-21,"November 26, 2010","Screen,TV,Cover,Soundtrack,Religion,Pop",
3407,Jason Derulo,Ridin' Solo,93.0,9.0,28.0,2010-10-21,"May 2, 2010","Pop,R&;B",
3408,Glee Cast,Only The Good Die Young,71.0,,,2010-10-21,,Pop,
3409,Paramore,The Only Exception,92.0,24.0,20.0,2010-10-21,"September 29, 2009","Pop-Rock,Adult Contemporary,Adult Alternative,Easy Listening,Alternative,Acoustic,Ballad,Pop-Punk,Rock",
3410,Cali Swag District,Teach Me How To Dougie,59.0,28.0,20.0,2010-10-21,"April 13, 2010",Rap,
3411,Glee Cast,Papa Can You Hear Me?,90.7,,,2010-10-21,,Pop,
3412,Glee Cast,I Look To You,93.0,,,2010-10-21,"October 5, 2010",Pop,
3413,John Mayer,Half Of My Heart,43.39473684210526,25.0,20.0,2010-10-21,"June 21, 2010",Rock,
3414,A Rocket To The Moon,Like We Used To,70.1,,,2010-10-21,"October 13, 2009",Rock,
3415,Glee Cast,Toxic,89.3125,,,2010-10-14,"November 24, 2010","Soundtrack,Screen,Cover,Pop",
3416,Travie McCoy,Billionaire,60.25,4.0,27.0,2010-10-14,"March 9, 2010","Alternative,Hip-Hop,Rap Rock,Reggae,Rap,Pop",Bruno Mars
3417,Lil Wayne,What's Wrong With Them,77.375,,,2010-10-14,"September 27, 2010",Rap,Nicki Minaj
3418,Glee Cast,I'm A Slave 4 U,13.707317073170731,,,2010-10-14,"September 28, 2010","Soundtrack,Cover,Pop",
3419,Glee Cast,Stronger,83.55,,,2010-10-14,"November 24, 2010","Cover,Soundtrack,Screen,Pop",
3420,Glee Cast,Baby One More Time,84.0,,,2010-10-14,"September 28, 2010","Screen,Soundtrack,Pop",
3421,Glee Cast,Me Against The Music,63.15,,,2010-10-14,"November 24, 2010","TV,Soundtrack,Screen,Cover,Pop",
3422,Lil Wayne,I Am Not A Human Being,42.53846153846154,,,2010-10-14,"September 27, 2010",Rap,
3423,Lil Wayne,Bill Gates,27.181818181818183,,,2010-10-14,"September 27, 2010",Rap,
3424,My Chemical Romance,Na Na Na,93.75,,,2010-10-14,"September 28, 2010","Synth Rock,Electronic Rock,Alternative Pop,Alternative,Alternative Rock,Pop-Punk,Punk Rock,Pop-Rock,Rock",
3425,Marsha Ambrosius,Hope She Cheats On You,75.07142857142857,,,2010-10-14,,Pop,
3426,Glee Cast,Empire State Of Mind,72.7,21.0,2.0,2010-10-14,"November 26, 2010","R&;B,Cover,Screen,Soundtrack,Pop",
3427,Soulja Boy Tell'em,Pretty Boy Swag,82.04545454545455,34.0,16.0,2010-10-14,"June 8, 2010","Trap,Dirty South,Crunk,Hip-Hop,Rap",
3428,Glee Cast,Telephone,97.0,,,2010-10-07,"August 28, 2012",Pop,
3429,Glee Cast,Listen,53.3,,,2010-10-07,"August 28, 2012",Pop,
3430,Drake,Find Your Love,52.285714285714285,5.0,21.0,2010-10-07,"May 5, 2010","R&;B,Canada,Rap",
3431,The Script,Breakeven,88.4,12.0,43.0,2010-10-07,"August 8, 2008","Pop-Rock,Ireland,Pop",
3432,Glee Cast,What I Did For Love,76.25,,,2010-10-07,,Pop,
3433,Zac Brown Band,Free,65.29411764705883,34.0,19.0,2010-10-07,"November 18, 2008","Country,Rock",
3434,Maroon 5,Stutter,91.0,,,2010-10-07,"August 18, 2010",Pop,
3435,Fantasia,Bittersweet,28.372549019607842,74.0,12.0,2010-10-07,"August 24, 2010",R&;B,
3436,Kid Cudi,Erase Me,35.25714285714286,22.0,5.0,2010-10-07,"November 9, 2010","R&;B,Rock,Rap",Kanye West
3437,Lee Brice,Love Like Crazy,50.73076923076923,45.0,20.0,2010-09-30,"June 8, 2010","Country,Rock",
3438,Gyptian,Hold You,17.152173913043477,77.0,15.0,2010-09-30,"April 12, 2010","Remix,Jamaica,Dancehall,Rap",
3439,P!nk,Glitter In The Air,56.58064516129032,18.0,18.0,2010-09-30,"October 24, 2009","R&;B,Pop",
3440,Toby Keith,Trailerhood,76.52941176470588,97.0,4.0,2010-09-30,,"Country,Rock",
3441,Taio Cruz,Break Your Heart,63.5,1.0,29.0,2010-09-23,"September 13, 2009","Pop,Rap",Ludacris
3442,Carrie Underwood,Undo It,89.0,23.0,20.0,2010-09-23,"November 3, 2009",Country,
3443,Jerrod Niemann,"Lover, Lover",90.66666666666667,29.0,20.0,2010-09-23,"July 13, 2010","Country,Rock",
3444,Sean Kingston,Dumb Love,91.5,,,2010-09-23,,Rap,
3445,Keith Urban,I'm In,64.0,60.0,16.0,2010-09-23,,"Country,Rock",
3446,"David Guetta, Chris Willis",Gettin' Over You,58.5,31.0,20.0,2010-09-23,"April 12, 2010","Dance,Electro-Pop,Electronic,Pop","Fergie, LMFAO"
3447,Rihanna,Rockstar 101,38.81818181818182,64.0,5.0,2010-09-23,"May 18, 2010","Rock,Pop",Slash
3448,Craig Morgan,This Ain't Nothin',27.59090909090909,83.0,13.0,2010-09-23,,Pop,
3449,Nick Jonas,Introducing Me,53.94736842105263,,,2010-09-23,"September 3, 2010","Soundtrack,Pop",
3450,The Script,The Man Who Can't Be Moved,76.16666666666667,86.0,6.0,2010-09-23,"July 25, 2008","Pop-Rock,Pop,Ireland,Rock",
3451,Ne,Champagne Life,69.0,75.0,8.0,2010-09-23,"July 20, 2010","R&;B,Rock",
3452,La Roux,Bulletproof,20.4,8.0,27.0,2010-09-16,"June 21, 2009","New Wave,Electronica,Electro-Pop,Synth-Pop,Pop",
3453,Lady Gaga,Alejandro,20.0,5.0,23.0,2010-09-16,"April 20, 2010","Electronic,Electro-Pop,Synth-Pop,Eurodance,Dance-Pop,Pop",
3454,Usher,There Goes My Baby,24.814814814814813,25.0,25.0,2010-09-16,"March 26, 2010","Producer,R&;B,Pop",
3455,Shontelle,Impossible,81.0,13.0,20.0,2010-09-16,"February 9, 2010","R&;B,Rap",
3456,Miranda Cosgrove,Kissin U,91.5,54.0,15.0,2010-09-16,"March 22, 2010","Pop-Rock,Teen Pop,Pop",
3457,"Antoine Dodson, The Gregory Brothers",Bed Intruder Song,31.25,89.0,3.0,2010-09-16,"July 31, 2010","Memes,News,YouTube,Rap",Kelly Dodson
3458,Bobby Brackins,143,74.15,76.0,11.0,2010-09-09,"January 19, 2010",Rap,Ray J
3459,The Black Eyed Peas,Rock That Body,99.0,9.0,18.0,2010-09-09,"January 29, 2010",Rap,
3460,Rob Thomas,Mockingbird,88.0,95.0,4.0,2010-09-09,"April 20, 2010",Pop,
3461,Ke$ha,Your Love Is My Drug,61.2,4.0,28.0,2010-09-02,"January 1, 2010","Electro-Pop,Dance-Pop,Pop",
3462,Thinkable,Un,84.5,21.0,20.0,2010-09-02,"May 28, 2010","Soul Pop,Pop,Soul,R&;B,Rap",
3463,Maroon 5,Give A Little More,95.33333333333333,,,2010-09-02,"August 17, 2010",Pop,
3464,Soundgarden,Black Rain,56.0,,,2010-09-02,"August 17, 2010","Alternative Metal,Alternative Rock,Grunge,Rock",
3465,Nickelback,This Afternoon,67.5,34.0,20.0,2010-09-02,"November 17, 2008","Country,Pop-Rock,Rock",
3466,Katy Perry,Circle The Drain,65.86206896551724,,,2010-08-26,"August 10, 2010","Gothic Rock,Pop",
3467,B.o.B,Nothin' On You,57.6,1.0,28.0,2010-08-19,"February 2, 2010","Pop,Rap",Bruno Mars
3468,Katy Perry,Not Like The Movies,18.956521739130434,,,2010-08-19,"August 3, 2010","Dance-Pop,Pop",
3469,Luke Bryan,Rain Is A Good Thing,74.5,37.0,20.0,2010-08-19,,Country,
3470,Colbie Caillat,I Never Told You,44.85,48.0,20.0,2010-08-19,"February 16, 2010",Rock,
3471,Miranda Lambert,The House That Built Me,75.6,28.0,20.0,2010-08-19,"March 8, 2010","Country,Rock",
3472,Ne,Beautiful Monster,58.0,53.0,9.0,2010-08-19,"June 8, 2010","R&;B,Rock",
