,Artist,Name,Peak_Position,Weeks_on_Chart,Week,Date,Genre,Features
40714,Wiz Khalifa,Black And Yellow,1.0,25.0,2011-04-07,"September 14, 2010","Pop,Rap",
40742,The Black Eyed Peas,The Time,4.0,20.0,2011-04-07,"November 26, 2010",Rap,
40745,Lady Antebellum,Hello World,58.0,20.0,2011-04-07,"October 4, 2010","Pop,Country",
40749,Glee Cast,Get It Right,16.0,2.0,2011-04-07,"March 8, 2011","Ballad,Screen,Soundtrack,Pop",
40768,Mann,Buzzin',61.0,11.0,2011-04-07,"December 21, 2010",Rap,
40770,Sunny Sweeney,From A Table Away,71.0,12.0,2011-04-07,"June 28, 2010",Pop,
40771,Ke$ha,fuck Him He's A DJ,,,2011-04-07,"March 18, 2011","Electro-Pop,Dance-Pop,Hi-Nrg,Pop",
40772,Cage The Elephant,Shake Me Down,78.0,4.0,2011-04-07,"November 22, 2010",Rock,
40807,Glee Cast,Blackbird,,,2011-03-31,"April 19, 2011","Cover,Screen,Soundtrack,Pop",
40816,Rihanna,What's My Name?,1.0,22.0,2011-03-31,"October 26, 2010","Rap,R&;B,Pop",Drake
40822,Glee Cast,Misery,,,2011-03-31,"April 19, 2011","Screen,Soundtrack,Cover,Pop",
40823,Glee Cast,Hell To The No,,,2011-03-31,"March 15, 2011",Pop,
40839,Blake Shelton,Who Are You When I'm Not Looking,46.0,20.0,2011-03-31,,"Country,Rock",
40840,Glee Cast,Landslide,23.0,2.0,2011-03-31,"March 8, 2011","Cover,Soundtrack,Screen,Country,Pop",Gwyneth Paltrow
40841,Glee Cast,Candles,,,2011-03-31,"April 19, 2011","Cover,Screen,Soundtrack,Pop",
40843,Kenny Chesney,Somewhere With You,31.0,20.0,2011-03-31,"September 28, 2010","Country,Rock",
40854,Tim McGraw,Felt Good On My Lips,26.0,20.0,2011-03-31,"September 20, 2010","Country,Rock",
40865,Chris Young,Voices,53.0,20.0,2011-03-31,,Country,
40868,Miranda Cosgrove,Dancing Crazy,,,2011-03-31,"January 21, 2011",Pop,
40901,Taylor Swift,Back To December,6.0,20.0,2011-03-24,"October 25, 2010","Baroque Pop,Country",
40906,Rihanna,Only Girl,1.0,27.0,2011-03-24,"September 10, 2010","R&;B,Pop",
40907,Ke$ha,We R Who We R,1.0,20.0,2011-03-24,"October 22, 2010",Pop,
40910,Linkin Park,Waiting For The End,42.0,23.0,2011-03-24,"September 1, 2010","Alternative,Alternative Rock,Electronic Rock,Rock,Rap",
40921,Glee Cast,Do You Wanna Touch Me,,,2011-03-24,"March 8, 2011","Screen,Soundtrack,Cover,Pop",Gwyneth Paltrow
40926,Glee Cast,Animal,,,2011-03-24,"April 19, 2011","Cover,Screen,Soundtrack,Pop",
40934,Lupe Fiasco,Beautiful Lasers,,,2011-03-24,"March 8, 2011",Rap,MDMA
40948,Flo Rida,Who Dat Girl,29.0,15.0,2011-03-24,"January 11, 2011",Rap,Akon
40952,Luke Bryan,Someone Else Calling You Baby,56.0,20.0,2011-03-24,,"Country,Rock",
40960,Dr. Dre,Kush,34.0,17.0,2011-03-24,"November 18, 2010","Producer,West Coast,Rap","Snoop Dogg, Akon"
41005,Usher,DJ Got Us Fallin' In Love,4.0,34.0,2011-03-17,"July 13, 2010","R&;B,Pop",Pitbull
41006,Katy Perry,Teenage Dream,1.0,33.0,2011-03-17,"July 23, 2010","Bubblegum Pop,Teen Pop,Dance-Pop,Power Pop,Electro-Pop,Pop",
41034,Gorilla Zoe,Twisted,,,2011-03-17,,Rap,Lil Jon
41040,Chris Medina,What Are Words,,,2011-03-17,"February 25, 2011",Rock,
41041,Sick Puppies,Maybe,56.0,15.0,2011-03-17,"January 1, 2010",Rock,
41042,WILLOW,Whip My Hair,11.0,18.0,2011-03-17,"October 26, 2010",Rap,
41043,Aaron Lewis,Country Boy,87.0,2.0,2011-03-17,"December 9, 2010",Country,"George Jones, Charlie Daniels"
41044,The JaneDear Girls,Wildflower,60.0,8.0,2011-03-17,"April 26, 2010",Country,
41047,Joe Nichols,The Shape I'm In,91.0,2.0,2011-03-17,"July 19, 2010",Country,
41049,The Lonely Island,I Just Had Sex,30.0,11.0,2011-03-17,"May 10, 2011","Electro-Pop,Electronic,Satire,Electro,Comedy,Rap",Akon
41055,WILLOW,21st Century Girl,,,2011-03-17,"March 1, 2011",Pop,
41056,Dev,Bass Down Low,61.0,12.0,2011-03-17,"December 6, 2010",Rap,The Cataracs
41101,Glee Cast,Don't You Want Me,,,2011-03-10,"March 8, 2011","Cover,Electro-Pop,Screen,Soundtrack,Pop",
41102,Nelly,Just A Dream,3.0,28.0,2011-03-10,"August 17, 2010","Pop,R&;B,Hip-Hop,Rap",
41107,Glee Cast,Blame It,,,2011-03-10,"March 8, 2011","Cover,Screen,Soundtrack,Pop",
41113,Glee Cast,Tik Tok,,,2011-03-10,"March 8, 2011","Soundtrack,Cover,Pop",
41140,Lloyd,Lay It Down,64.0,19.0,2011-03-10,"August 31, 2010","R&;B,Rap",
41142,David Guetta,Who's That Chick?,51.0,9.0,2011-03-10,"November 22, 2010",Pop,Rihanna
41146,Kanye West Jay Z,H*A*M,23.0,7.0,2011-03-10,"January 11, 2011","East Coast,Orchestral,Trap,Rap",
41150,Justin Bieber,U Smile,27.0,4.0,2011-03-10,"August 9, 2010","Canada,Pop",
41192,"Mumford, Sons",Little Lion Man,45.0,22.0,2011-03-03,"August 11, 2009","UK,Rock",
41194,Glee Cast,Baby,,,2011-03-03,"November 9, 2010","Christmas,Cover,LGBTQ+,TV,Screen,Soundtrack,Pop",
41198,Glee Cast,Take Me Or Leave Me,,,2011-03-03,"March 8, 2011","Soundtrack,Musicals,Cover,Pop",
41221,Justin Bieber,Born To Be Somebody,,,2011-03-03,"February 14, 2011","Canada,Pop",
41225,Jay Sean,Hit The Lights,18.0,2.0,2011-03-03,,"R&;B,Rap",Lil Wayne
41243,Troop 41,Do The John Wall,76.0,8.0,2011-03-03,"January 18, 2011",Rap,
41279,Glee Cast,Thriller / Heads Will Roll,38.0,2.0,2011-02-24,"March 8, 2011","Mashup,Screen,Soundtrack,Rock,Cover,Pop",
41285,Glee Cast,"Bills, Bills, Bills",44.0,2.0,2011-02-24,"April 19, 2011","Cover,Screen,Soundtrack,Pop",
41286,Glee Cast,Silly Love Songs,,,2011-02-24,"April 19, 2011","Screen,Soundtrack,Cover,Pop",
41288,Glee Cast,When I Get You Alone,,,2011-02-24,"April 19, 2011","TV,Soundtrack,Screen,Cover,Pop",
41297,Glee Cast,Fat Bottomed Girls,,,2011-02-24,"March 8, 2011","TV,Cover,Soundtrack,Pop",
41302,Glee Cast,Need You Now,62.0,2.0,2011-02-24,"February 6, 2011","Cover,Soundtrack,Screen,Country,Pop",
41312,Rick Ross,Aston Martin Music,30.0,20.0,2011-02-24,"October 5, 2010","Canada,Rap","Drake, Chrisette Michele"
41322,Keith Urban,Put You In A Song,53.0,20.0,2011-02-24,,"Country,Rock",
41326,Glee Cast,She's Not There,,,2011-02-24,"March 8, 2011","Soundtrack,Screen,Indie Rock,Cover,Pop",
41328,Lupe Fiasco,Words I Never Said,,,2011-02-24,"February 8, 2011","Pop,Conscious Hip-Hop,Rap",Skylar Grey
41333,Twista,Make A Movie,71.0,14.0,2011-02-24,"August 24, 2010","R&;B,Rap",Chris Brown
41373,Plain White T's,Rhythm of Love,38.0,21.0,2011-02-17,"October 3, 2010",Rock,
41382,Mike Posner,Please Don't Go,16.0,20.0,2011-02-17,"June 9, 2010","Electro-Pop,Pop",
41414,3 Doors Down,When You're Young,,,2011-02-17,"February 1, 2011",Rock,
41415,The Lonely Island,The Creep,,,2011-02-17,"May 10, 2011","Electro,Comedy,Rap",Nicki Minaj
41416,Toby Keith,Bullets In The Gun,83.0,14.0,2011-02-17,,"Country,Rock",
41422,Panic! At The Disco,The Ballad Of Mona Lisa,,,2011-02-17,"February 1, 2011","Baroque Pop,Power Pop,Alternative Pop,Alternative,Pop-Rock,Punk Rock,Alternative Rock,Pop-Punk,Rock",
41428,Nicki Minaj,Right Thru Me,26.0,19.0,2011-02-17,"September 24, 2010","R&;B,Rap",
41429,David Guetta,Memories,46.0,18.0,2011-02-17,"March 29, 2010","Dance,Rap,Pop",Kid Cudi
41430,Birdman,Fire Flame,64.0,10.0,2011-02-17,"November 22, 2010",Rap,Lil Wayne
41472,Lil Wayne,Right Above It,6.0,24.0,2011-02-10,"September 27, 2010",Rap,Drake
41491,Florence + The Machine,Dog Days Are Over,21.0,20.0,2011-02-10,"July 3, 2009","Alternative Rock,Alternative,Indie Pop,Indie Rock,Art Pop,Art Rock,Rock",
41498,Trey Songz,Can't Be Friends,43.0,20.0,2011-02-10,"September 28, 2010","Soul,Neo Soul,R&;B",
41507,Eric Church,Smoke A Little Smoke,78.0,20.0,2011-02-10,"June 21, 2010","Country,Rock",
41513,"Yolanda Be Cool, Dcup",We No Speak Americano,29.0,20.0,2011-02-10,"February 27, 2010","Memes,Pop",
41514,Rise Against,Help Is On The Way,,,2011-02-10,"January 1, 2011",Rock,
41518,Carrie Underwood,Mama's Song,56.0,19.0,2011-02-10,"September 13, 2010",Country,
41520,Bruno Mars,Marry You,85.0,9.0,2011-02-10,"August 15, 2011",Pop,
41522,Nicki Minaj,Roman's Revenge,56.0,5.0,2011-02-10,"October 30, 2010",Rap,Eminem
41611,Victorious Cast,Freak The Freak Out,50.0,6.0,2011-02-03,"November 19, 2010","TV,Screen,Hi-Nrg,Dance-Pop,Synth-Pop,Teen Pop,Electro-Pop,Pop-Rock,Electronic Rock,Soundtrack,Pop",Victoria Justice
41616,The Black Keys,Tighten Up,87.0,4.0,2011-02-03,"April 17, 2010","Grunge,Blues Rock,Alternative Rock,Alternative,Rock",
41617,"Garrett Hedlund, Leighton Meester",Give In To Me,79.0,2.0,2011-02-03,"November 8, 2010",Pop,
41619,Yellowcard,"For You, And Your Denial",,,2011-02-03,"January 18, 2011",Rock,
41663,Flo Rida,Club Can't Handle Me,9.0,29.0,2011-01-27,"June 28, 2010",Rap,David Guetta
41701,Gwyneth Paltrow,Country Strong,81.0,2.0,2011-01-27,"July 26, 2010","Country,Screen",
41706,George Strait,The Breath You Take,63.0,20.0,2011-01-27,,"Country,Rock",
41712,Reba,Turn On The Radio,53.0,18.0,2011-01-27,,Country,
41753,Sugarland,Stuck Like Glue,17.0,24.0,2011-01-20,"October 19, 2010","Pop Country,Country,Rock",
41755,Eminem,Love The Way You Lie,1.0,29.0,2011-01-20,"June 18, 2010","Ballad,Pop,Rap",Rihanna
41757,Jason Aldean,My Kinda Party,39.0,20.0,2011-01-20,"August 16, 2010","Country,Rock",
41800,Miranda Lambert,Only Prettier,61.0,19.0,2011-01-20,"July 26, 2010","Country,News",
41802,Brad Paisley,Anything Like Me,48.0,19.0,2011-01-20,,"Country,Rock",
41805,My Darkest Days,Porn Star Dancing,90.0,7.0,2011-01-20,"June 21, 2010","Rock,Rap",Zakk Wylde
41806,T.I.,That's All She Wrote,18.0,5.0,2011-01-20,"December 7, 2010",Rap,Eminem
41841,The Ready Set,Love Like Woe,27.0,21.0,2011-01-13,"March 31, 2010","Pop,Synth-Pop",
41849,Chris Brown,Deuces,14.0,27.0,2011-01-13,"June 25, 2010","West Coast,DMV,R&;B,Rap","Tyga, Kevin McCall"
41877,Kanye West,Runaway,12.0,13.0,2011-01-13,"October 4, 2010","Producer,Rap",Pusha T
41879,"Selena Gomez, The Scene",A Year Without Rain,35.0,8.0,2011-01-13,"September 7, 2010","Electro,Dance-Pop,Dance,Eurodance,Synth-Pop,Electro-Pop,Pop",
41881,Big Time Rush,Big Night,,,2011-01-13,,"West Coast,Teen Pop,Boy Band,Pop",
41891,Rascal Flatts,Why Wait,48.0,20.0,2011-01-13,"August 2, 2010","Country,Rock",
41896,Jesse McCartney,Shake,54.0,12.0,2011-01-13,"September 21, 2010",R&;B,
41897,"will.i.am, Nicki Minaj",Check It Out,24.0,15.0,2011-01-13,"September 3, 2010","Producer,Rap",
41901,Chiddy Bang,Opposite Of Adults,90.0,2.0,2011-01-13,"October 29, 2009",Rap,
41957,Zac Brown Band,As She's Walking Away,32.0,20.0,2011-01-06,"August 23, 2010",Country,Alan Jackson
41962,3OH!3,Hit It Again,,,2011-01-06,"December 21, 2010",Pop,
41989,Kid Cudi,Pursuit Of Happiness,59.0,3.0,2011-01-06,"September 15, 2009","Conscious Hip-Hop,Chill,Neo-Psychedelia,R&;B,Rap","MGMT, Ratatat"
41993,Train,Shake Up Christmas,,,2011-01-06,"November 1, 2010","Christmas,Rock",
42071,Coldplay,Christmas Lights,25.0,3.0,2010-12-30,"December 1, 2010","Alternative,Alternative Rock,Christmas,Ballad,Rock",
42077,Miguel,All I Want Is You,58.0,14.0,2010-12-30,"May 25, 2010","Soul,Soul Pop,R&;B,Rap",J. Cole
42079,Diddy,Loving You No More,91.0,2.0,2010-12-30,"December 14, 2010","Rap,Pop",
42081,R. Kelly,When A Woman Loves,,,2010-12-30,"September 7, 2010","Soul Pop,Soul,Pop,R&;B",
42083,Daughtry,September,36.0,20.0,2010-12-30,"June 1, 2010",Rock,
42084,Shakira,Loca,32.0,11.0,2010-12-30,"September 10, 2010","Latin Pop,Merengue,Pop",Dizzee Rascal
42086,Sean Kingston,Letting Go,36.0,20.0,2010-12-30,"August 3, 2010",Rap,Nicki Minaj
42087,Glee Cast,"Baby, It's Cold Outside",57.0,2.0,2010-12-30,"November 9, 2010","Christmas,Cover,LGBTQ+,TV,Screen,Soundtrack,Pop",
42088,Mariah Carey,Oh Santa!,,,2010-12-30,"October 1, 2010","Christmas,Holiday,R&;B,Pop",
42144,Glee Cast,Welcome Christmas,,,2010-12-23,,Pop,
42174,Natasha Bedingfield,Strip Me,91.0,4.0,2010-12-23,"August 31, 2010",Pop,
42179,Ne,One In A Million,87.0,7.0,2010-12-23,,R&;B,
42208,Glee Cast,"Hey, Soul Sister",,,2010-12-16,"April 19, 2011","Easy Listening,Screen,TV,Soundtrack,Teen Pop,Pop",
42217,Glee Cast,The Time Of My Life,,,2010-12-16,"November 30, 2010","Cover,Screen,Soundtrack,Pop",
42232,Glee Cast,Valerie,,,2010-12-16,"November 26, 2010","TV,Soul,Cover,Soundtrack,Screen,Pop",
42255,The Killers,Boots,,,2010-12-16,"November 30, 2010",Rock,
42273,Glee Cast,Don't Cry For Me Argentina,,,2010-12-16,"November 30, 2010","Screen,Soundtrack,Pop",
42275,Glee Cast,Singing In The Rain / Umbrella,18.0,3.0,2010-12-16,"November 16, 2010",Pop,Gwyneth Paltrow
42328,Ke$ha,Take It Off,8.0,20.0,2010-12-09,"January 1, 2010","Electronic Pop,Electronic,Electro,Dance-Pop,Electro-Pop,Pop",
42340,Christina Aguilera,Show Me How You Burlesque,,,2010-12-09,"November 11, 2010","Soundtrack,Pop",
42349,Usher,Hot Tottie,21.0,16.0,2010-12-09,"July 20, 2010","R&;B,Pop",Jay
42355,Darius Rucker,Come Back Song,37.0,20.0,2010-12-09,,"Country,Rock",
42363,Ke$ha,Crazy Beautiful Life,,,2010-12-09,"November 19, 2010",Pop,
42405,Sara Bareilles,King Of Anything,32.0,22.0,2010-12-02,"May 10, 2010","Pop-Rock,Piano,Indie Pop,Pop,Rock",
42438,Nelly,Liv Tonight,,,2010-12-02,,Pop,Keri Hilson
42449,Easton Corbin,Roll With It,55.0,19.0,2010-12-02,"March 2, 2010",Country,
42453,New Hollow,Sick,86.0,3.0,2010-12-02,,Pop,
42454,Trace Adkins,This Ain't No Love Song,88.0,6.0,2010-12-02,"May 17, 2010",Country,
42488,Glee Cast,Start Me Up / Livin' On A Prayer,,,2010-11-25,"November 9, 2010",Pop,
42495,Glee Cast,Stop! In The Name Of Love / Free Your Mind,,,2010-11-25,"November 9, 2010",Pop,
42498,Glee Cast,One Love,,,2010-11-25,"November 26, 2010","Screen,TV,Reggae,Soundtrack,Cover,Pop",
42504,Mike Posner,Cooler Than Me,6.0,29.0,2010-11-25,"December 15, 2009","Electro-Pop,Pop",
42506,Katy Perry,California Gurls,1.0,27.0,2010-11-25,"May 7, 2010","Dance-Pop,Funk-Pop,Disco,Pop",Snoop Dogg
42510,Kid Cudi,Marijuana,,,2010-11-25,"November 9, 2010","R&;B,Rap",
42533,Ke$ha,Cannibal,,,2010-11-25,"November 19, 2010","Electro,Pop",
42546,Kid Cudi,Scott Mescudi Vs. The World,,,2010-11-25,"November 9, 2010","R&;B,Rap",Cee
42550,Jazmine Sullivan,Holding You Down,60.0,12.0,2010-11-25,"July 10, 2010","R&;B,Rap",
42598,B.o.B,Airplanes,2.0,30.0,2010-11-18,"April 13, 2010","Gaming,Soundtrack,Pop,Rap",Hayley Williams
42602,Rodney Atkins,Farmer's Daughter,47.0,21.0,2010-11-18,"March 29, 2010",Country,
42619,T.I.,Get Back Up,,,2010-11-18,"October 29, 2010",Rap,Chris Brown
42627,YG,Toot It And Boot It,67.0,11.0,2010-11-18,"June 8, 2010",Rap,
42630,Adam Lambert,If I Had You,30.0,20.0,2010-11-18,"May 11, 2010","Electronic,Electronic Pop,Dance,Pop",
42634,3OH!3,Double Vision,87.0,4.0,2010-11-18,"June 15, 2010","Dance-Pop,Pop",
42635,Jay Sean,2012,31.0,14.0,2010-11-18,"August 3, 2010","R&;B,Rap",Nicki Minaj
42638,Monica,Love All Over Me,58.0,17.0,2010-11-18,"May 31, 2010","R&;B,Pop",
42672,Taylor Swift,Innocent,,,2010-11-11,"September 12, 2010","Country,Pop",
42698,Taylor Swift,Dear John,,,2010-11-11,"October 25, 2010","Rock,Country,Pop",
42700,Taylor Swift,Better Than Revenge,,,2010-11-11,"October 25, 2010","Alternative Rock,Pop-Punk,Pop-Rock,Country",
42714,Taylor Swift,Last Kiss,,,2010-11-11,"October 25, 2010","Country,Pop",
42718,Taylor Swift,Enchanted,,,2010-11-11,"October 25, 2010","Pop-Rock,Country",
42720,Kid Cudi,Mr. Rager,,,2010-11-11,"November 9, 2010","R&;B,Rap",
42727,Taylor Swift,Never Grow Up,,,2010-11-11,"October 25, 2010","Country,Pop",
42728,Taylor Swift,Long Live,,,2010-11-11,"October 25, 2010","Power Pop,Rock,Country",
42732,Glee Cast,Time Warp,,,2010-11-11,"October 19, 2010","Screen,TV,Soundtrack,Cover,Musicals,Pop",
42733,Michael Buble,Hollywood,55.0,2.0,2010-11-11,"September 7, 2010","Jazz,Pop",
42734,Josh Turner,All Over Me,59.0,18.0,2010-11-11,"February 9, 2010","Country,Rock",
42781,Eminem,Not Afraid,1.0,25.0,2010-11-04,"April 29, 2010","Soundtrack,Pop,Rap",
42787,Train,If It's Love,34.0,20.0,2010-11-04,,Rock,
42805,Hannah Montana,Gonna Get This,,,2010-11-04,"October 15, 2010","Disney,Soundtrack,Pop",Iyaz
42820,Kings Of Leon,The End,,,2010-11-04,"October 15, 2010",Rock,
42823,Josh Thompson,Way Out Here,85.0,9.0,2010-11-04,,Pop,
42824,Taylor Swift,Speak Now,8.0,3.0,2010-11-04,"October 25, 2010","Country,Pop",
42830,Lady Antebellum,Our Kind Of Love,51.0,20.0,2010-11-04,"May 31, 2010","Pop,Country",
42834,Blake Shelton,All About Tonight,37.0,19.0,2010-11-04,,"Country,Rock",
42835,T.I.,Got Your Back,38.0,20.0,2010-11-04,"June 1, 2010",Rap,Keri Hilson
42861,Glee Cast,Lucky,,,2010-10-28,"November 26, 2010","Adult Contemporary,Easy Listening,TV,Screen,Soundtrack,Cover,Pop",
42875,Glee Cast,"River Deep, Mountain High",,,2010-10-28,"November 26, 2010","TV,Screen,Cover,Soundtrack,Pop",
42881,Glee Cast,Happy Days Are Here Again / Get Happy,,,2010-10-28,"October 12, 2010",Pop,
42887,Nelly,Move That Body,,,2010-10-28,"October 12, 2010","Synth-Pop,Rap",T
42901,Drake,Miss Me,15.0,20.0,2010-10-28,"June 1, 2010","Alternative R&;B,R&;B,Canada,Rap",Lil Wayne
42913,Nicki Minaj,Your Love,14.0,20.0,2010-10-28,"June 1, 2010","Pop,Rap",
42919,Billy Currington,Pretty Good At Drinkin' Beer,41.0,20.0,2010-10-28,"September 21, 2010","Country,Rock",
42923,Little Big Town,Little White Church,59.0,20.0,2010-10-28,"August 24, 2010","Country,Rock",
42924,Glee Cast,Le Jazz Hot,,,2010-10-28,"October 12, 2010",Pop,
42926,Lil Wayne,Gonorrhea,17.0,3.0,2010-10-28,"September 27, 2010",Rap,Drake
42928,Kanye West,POWER,22.0,16.0,2010-10-28,"May 28, 2010","Producer,Pop,Rap",
42929,Linkin Park,The Catalyst,27.0,10.0,2010-10-28,"September 8, 2010","Nu-Metal,Alternative Rock,Electronic Rock,Electronic,Rock",
42963,Glee Cast,I Want To Hold Your Hand,,,2010-10-21,"November 26, 2010","TV,Screen,Cover,Soundtrack,Pop",
42964,Glee Cast,One Of Us,,,2010-10-21,"November 26, 2010","Screen,TV,Cover,Soundtrack,Religion,Pop",
42975,Jason Derulo,Ridin' Solo,9.0,28.0,2010-10-21,"May 2, 2010","Pop,R&;B",
42976,Glee Cast,Only The Good Die Young,,,2010-10-21,,Pop,
42979,Paramore,The Only Exception,24.0,20.0,2010-10-21,"September 29, 2009","Pop-Rock,Adult Contemporary,Adult Alternative,Easy Listening,Alternative,Acoustic,Ballad,Pop-Punk,Rock",
42983,Cali Swag District,Teach Me How To Dougie,28.0,20.0,2010-10-21,"April 13, 2010",Rap,
42991,Glee Cast,Papa Can You Hear Me?,,,2010-10-21,,Pop,
43000,Glee Cast,I Look To You,,,2010-10-21,"October 5, 2010",Pop,
43003,John Mayer,Half Of My Heart,25.0,20.0,2010-10-21,"June 21, 2010",Rock,
43015,A Rocket To The Moon,Like We Used To,,,2010-10-21,"October 13, 2009",Rock,
43039,Glee Cast,Toxic,,,2010-10-14,"November 24, 2010","Soundtrack,Screen,Cover,Pop",
43062,Travie McCoy,Billionaire,4.0,27.0,2010-10-14,"March 9, 2010","Alternative,Hip-Hop,Rap Rock,Reggae,Rap,Pop",Bruno Mars
43063,Lil Wayne,What's Wrong With Them,,,2010-10-14,"September 27, 2010",Rap,Nicki Minaj
43072,Glee Cast,I'm A Slave 4 U,,,2010-10-14,"September 28, 2010","Soundtrack,Cover,Pop",
43073,Glee Cast,Stronger,,,2010-10-14,"November 24, 2010","Cover,Soundtrack,Screen,Pop",
43074,Glee Cast,Baby One More Time,,,2010-10-14,"September 28, 2010","Screen,Soundtrack,Pop",
43076,Glee Cast,Me Against The Music,,,2010-10-14,"November 24, 2010","TV,Soundtrack,Screen,Cover,Pop",
43085,Lil Wayne,I Am Not A Human Being,,,2010-10-14,"September 27, 2010",Rap,
43094,Lil Wayne,Bill Gates,,,2010-10-14,"September 27, 2010",Rap,
43096,My Chemical Romance,Na Na Na,,,2010-10-14,"September 28, 2010","Synth Rock,Electronic Rock,Alternative Pop,Alternative,Alternative Rock,Pop-Punk,Punk Rock,Pop-Rock,Rock",
43106,Marsha Ambrosius,Hope She Cheats On You,,,2010-10-14,,Pop,
43111,Glee Cast,Empire State Of Mind,21.0,2.0,2010-10-14,"November 26, 2010","R&;B,Cover,Screen,Soundtrack,Pop",
43117,Soulja Boy Tell'em,Pretty Boy Swag,34.0,16.0,2010-10-14,"June 8, 2010","Trap,Dirty South,Crunk,Hip-Hop,Rap",
43139,Glee Cast,Telephone,,,2010-10-07,"August 28, 2012",Pop,
43152,Glee Cast,Listen,,,2010-10-07,"August 28, 2012",Pop,
43161,Drake,Find Your Love,5.0,21.0,2010-10-07,"May 5, 2010","R&;B,Canada,Rap",
43164,The Script,Breakeven,12.0,43.0,2010-10-07,"August 8, 2008","Pop-Rock,Ireland,Pop",
43165,Glee Cast,What I Did For Love,,,2010-10-07,,Pop,
43195,Zac Brown Band,Free,34.0,19.0,2010-10-07,"November 18, 2008","Country,Rock",
43196,Maroon 5,Stutter,,,2010-10-07,"August 18, 2010",Pop,
43202,Fantasia,Bittersweet,74.0,12.0,2010-10-07,"August 24, 2010",R&;B,
43206,Kid Cudi,Erase Me,22.0,5.0,2010-10-07,"November 9, 2010","R&;B,Rock,Rap",Kanye West
43274,Lee Brice,Love Like Crazy,45.0,20.0,2010-09-30,"June 8, 2010","Country,Rock",
43293,Gyptian,Hold You,77.0,15.0,2010-09-30,"April 12, 2010","Remix,Jamaica,Dancehall,Rap",
43294,P!nk,Glitter In The Air,18.0,18.0,2010-09-30,"October 24, 2009","R&;B,Pop",
43300,Toby Keith,Trailerhood,97.0,4.0,2010-09-30,,"Country,Rock",
43346,Taio Cruz,Break Your Heart,1.0,29.0,2010-09-23,"September 13, 2009","Pop,Rap",Ludacris
43363,Carrie Underwood,Undo It,23.0,20.0,2010-09-23,"November 3, 2009",Country,
43375,Jerrod Niemann,"Lover, Lover",29.0,20.0,2010-09-23,"July 13, 2010","Country,Rock",
43377,Sean Kingston,Dumb Love,,,2010-09-23,,Rap,
43380,Keith Urban,I'm In,60.0,16.0,2010-09-23,,"Country,Rock",
43381,"David Guetta, Chris Willis",Gettin' Over You,31.0,20.0,2010-09-23,"April 12, 2010","Dance,Electro-Pop,Electronic,Pop","Fergie, LMFAO"
43382,Rihanna,Rockstar 101,64.0,5.0,2010-09-23,"May 18, 2010","Rock,Pop",Slash
43383,Craig Morgan,This Ain't Nothin',83.0,13.0,2010-09-23,,Pop,
43385,Nick Jonas,Introducing Me,,,2010-09-23,"September 3, 2010","Soundtrack,Pop",
43388,The Script,The Man Who Can't Be Moved,86.0,6.0,2010-09-23,"July 25, 2008","Pop-Rock,Pop,Ireland,Rock",
43393,Ne,Champagne Life,75.0,8.0,2010-09-23,"July 20, 2010","R&;B,Rock",
43435,La Roux,Bulletproof,8.0,27.0,2010-09-16,"June 21, 2009","New Wave,Electronica,Electro-Pop,Synth-Pop,Pop",
43436,Lady Gaga,Alejandro,5.0,23.0,2010-09-16,"April 20, 2010","Electronic,Electro-Pop,Synth-Pop,Eurodance,Dance-Pop,Pop",
43440,Usher,There Goes My Baby,25.0,25.0,2010-09-16,"March 26, 2010","Producer,R&;B,Pop",
43443,Shontelle,Impossible,13.0,20.0,2010-09-16,"February 9, 2010","R&;B,Rap",
43471,Miranda Cosgrove,Kissin U,54.0,15.0,2010-09-16,"March 22, 2010","Pop-Rock,Teen Pop,Pop",
43478,"Antoine Dodson, The Gregory Brothers",Bed Intruder Song,89.0,3.0,2010-09-16,"July 31, 2010","Memes,News,YouTube,Rap",Kelly Dodson
43569,Bobby Brackins,143,76.0,11.0,2010-09-09,"January 19, 2010",Rap,Ray J
43571,The Black Eyed Peas,Rock That Body,9.0,18.0,2010-09-09,"January 29, 2010",Rap,
43574,Rob Thomas,Mockingbird,95.0,4.0,2010-09-09,"April 20, 2010",Pop,
43620,Ke$ha,Your Love Is My Drug,4.0,28.0,2010-09-02,"January 1, 2010","Electro-Pop,Dance-Pop,Pop",
43625,Thinkable,Un,21.0,20.0,2010-09-02,"May 28, 2010","Soul Pop,Pop,Soul,R&;B,Rap",
43653,Maroon 5,Give A Little More,,,2010-09-02,"August 17, 2010",Pop,
43663,Soundgarden,Black Rain,,,2010-09-02,"August 17, 2010","Alternative Metal,Alternative Rock,Grunge,Rock",
43665,Nickelback,This Afternoon,34.0,20.0,2010-09-02,"November 17, 2008","Country,Pop-Rock,Rock",
43723,Katy Perry,Circle The Drain,,,2010-08-26,"August 10, 2010","Gothic Rock,Pop",
43804,B.o.B,Nothin' On You,1.0,28.0,2010-08-19,"February 2, 2010","Pop,Rap",Bruno Mars
43808,Katy Perry,Not Like The Movies,,,2010-08-19,"August 3, 2010","Dance-Pop,Pop",
43818,Luke Bryan,Rain Is A Good Thing,37.0,20.0,2010-08-19,,Country,
43819,Colbie Caillat,I Never Told You,48.0,20.0,2010-08-19,"February 16, 2010",Rock,
43823,Miranda Lambert,The House That Built Me,28.0,20.0,2010-08-19,"March 8, 2010","Country,Rock",
