,Artist,Name,Peak_Position,Weeks_on_Chart,Week,Date,Genre,Features
73,"Lunay, Daddy Yankee, Bad Bunny",Soltera,73.0,7.0,2019-07-06,"May 10, 2019","Reggaeton,Latin Music,Latin Urban,Puerto Rico,Latin Pop,En Espa\xc3\xb1ol,Pop",
74,Florida Georgia Line,Talk You Out Of It,73.0,19.0,2019-07-06,"July 6, 2018",Country,
75,SHAED,Trampoline,77.0,4.0,2019-07-06,"May 18, 2018",Pop,
76,"Yella Beezy, Gucci Mane, Quavo",Bacc At It Again,78.0,5.0,2019-07-06,"March 15, 2019","Hip-Hop,Rap",
77,Beyonce,Before I Let Go,65.0,10.0,2019-07-06,"April 17, 2019","Bounce,Cover,Soundtrack,Pop,Soul Pop,Soul,Funk,R&;B",
78,DJ Khaled,Wish Wish,19.0,6.0,2019-07-06,"May 17, 2019","Atlanta,Trap,Rap","Cardi B, 21 Savage"
79,Chris Young,Raised On Country,81.0,4.0,2019-07-06,"January 4, 2019",Country,
80,Travis Scott,Wake Up,30.0,4.0,2019-07-06,"August 3, 2018","Trap,R&;B,Canada,Rap",
81,Sech,Otro Trago,81.0,3.0,2019-07-06,"April 19, 2019","Dancehall,Reggaeton,Latin Music,Latin Urban,En Espa\xc3\xb1ol,Puerto Rico,Latin Pop,Pop",Darell
82,Chase Rice,Eyes On You,38.0,19.0,2019-07-06,"October 13, 2017",Country,
83,Bryce Vine,La La Land,85.0,4.0,2019-07-06,"March 1, 2019","Pop,Rap,Hip-Hop,R&;B",YG
84,Billie Eilish,Ocean Eyes,84.0,18.0,2019-07-06,"November 19, 2015","Alternative Dance,Synth-Pop,Ambient,Indie Pop,Alternative Pop,Alternative,Pop",
85,Marshmello,Here With Me,31.0,16.0,2019-07-06,"March 8, 2019","Progressive House,House,Electro House,Electronic Pop,Alternative Pop,Electronic,Dubstep,Dance,Electro,Electronica,Electro-Pop,EDM,Synth-Pop,Pop",CHVRCHES
86,Brett Eldredge,Love Someone,52.0,10.0,2019-07-06,"June 18, 2018",Country,
87,Lil Uzi Vert,Sanguine Paradise,28.0,11.0,2019-07-06,"April 9, 2019","East Coast,Trap,Rap",
88,Eli Young Band,Love Ain't,50.0,11.0,2019-07-06,"May 25, 2018",Country,
89,"Pedro Capo, Farruko",Calma,71.0,15.0,2019-07-06,"October 5, 2018","Puerto Rico,Reggaeton,Latin Music,Latin Pop,Latin Urban,Remix,En Espa\xc3\xb1ol,Pop",
90,Jonas Brothers,Only Human,91.0,3.0,2019-07-06,"June 7, 2019",Pop,
91,Justin Moore,The Ones That Didn't Make It Back Home,93.0,2.0,2019-07-06,"October 12, 2018",Country,
92,Megan Thee Stallion,Big Ole Freak,65.0,12.0,2019-07-06,"June 11, 2018",Rap,
93,NAV,Tap,89.0,3.0,2019-07-06,"March 22, 2019","Canada,East Coast,Rap",Meek Mill
94,DJ Khaled,You Stay,44.0,4.0,2019-07-06,"May 17, 2019","Atlanta,R&;B,Latin Music,En Espa\xc3\xb1ol,Rap","Meek Mill, J Balvin, Lil Baby, Jeremih"
95,"Ozuna, Daddy Yankee, J Balvin, Farruko, Anuel AA",Baila Baila Baila,69.0,9.0,2019-07-06,"April 25, 2019","Latin Pop,Reggaeton,Remix,Puerto Rico,En Espa\xc3\xb1ol,Latin Urban,Latin Music,Pop",
96,Megan Thee Stallion,Cash Shit,,,2019-07-06,"May 17, 2019","East Coast,Rap",DaBaby
97,Drake,Omerta,35.0,2.0,2019-07-06,"June 15, 2019","Hip-Hop,Basketball,NBA,Canada,Rap",
98,Martin Garrix,Summer Days,,,2019-07-06,"April 25, 2019","Electronic Pop,Electro,Electro House,Nederland,Electronic,Electro-Pop,Rap,Electronic Trap,Tropical House,Dance-Pop,Pop","Macklemore, Patrick Stump"
143,Billie Eilish,When The Party's Over,29.0,32.0,2019-06-29,"October 17, 2018","R&;B,Ambient,Art Pop,Indie Pop,Ballad,Pop",
145,Calboy,Envy Me,31.0,27.0,2019-06-29,"September 13, 2018",Rap,
167,Kelsea Ballerini,Miss Me More,47.0,20.0,2019-06-29,"October 20, 2017",Country,
172,Dreamville,Down Bad,,,2019-06-29,"June 12, 2019","East Coast,Atlanta,Rap","JID, Bas, J. Cole, EARTHGANG, Young Nudy"
177,Joji,Sanctuary,,,2019-06-29,"June 14, 2019","Synth-Pop,Alternative R&;B,Pop,Ballad,Electronic",
189,Marshmello,Rescue Me,,,2019-06-29,"June 14, 2019","EDM,Pop-Punk,Electronic,Pop",A Day To Remember
191,"Nicky Jam, Ozuna",Te Robare,91.0,6.0,2019-06-29,"March 22, 2019","Reggaeton,Puerto Rico,Latin Urban,Latin Music,Latin Pop,En Espa\xc3\xb1ol,Pop",
195,Juice WRLD,Robbery,27.0,18.0,2019-06-29,"February 13, 2019","Trap,Emo Rap,Emo,Rap",
196,Nipsey Hussle,Racks In The Middle,26.0,11.0,2019-06-29,"February 15, 2019",Rap,"Roddy Ricch, Hit"
242,Luke Combs,Beautiful Crazy,21.0,31.0,2019-06-22,"May 4, 2018",Country,
245,Lil Baby,Close Friends,28.0,33.0,2019-06-22,"October 5, 2018","Atlanta,Motown,Trap,Rap",
255,Billie Eilish,Bury A Friend,14.0,20.0,2019-06-22,"January 30, 2019","Trap,Alternative,Dark Pop,Industrial,Alternative Pop,Electronica,Pop",
259,Luke Combs,Even Though I'm Leaving,,,2019-06-22,"June 7, 2019",Country,
275,Yo Gotti,Put A Date On It,46.0,20.0,2019-06-22,"January 25, 2019",Rap,Lil Baby
279,Avicii,Heaven,,,2019-06-22,"June 6, 2019","Electro,EDM,Electro-Pop,Dance,Dance-Pop,Electronic,Scandipop,Scandinavia,Sverige,Pop",
283,Future,Please Tell Me,,,2019-06-22,"June 7, 2019","R&;B,Trap,Atlanta,Rap",
284,Cody Johnson,On My Way To You,78.0,16.0,2019-06-22,"August 10, 2018",Country,
288,Ozuna,Amor Genuino,,,2019-06-22,"June 4, 2019","Latin Pop,En Espa\xc3\xb1ol,Pop,Puerto Rico,Latin Music",
294,Future,XanaX Damage,,,2019-06-22,"June 7, 2019","Alternative R&;B,R&;B,Atlanta,Rap",
295,Future,Government Official,,,2019-06-22,"June 7, 2019","Atlanta,Trap,Rap",
350,Miley Cyrus,Mother's Daughter,,,2019-06-15,"May 31, 2019","R&;B,LGBTQ+,Feminism,Pop",
365,YNW Melly,Murder On My Mind,14.0,20.0,2019-06-15,"March 4, 2017","Hip-Hop,Rap",
366,NF,The Search,,,2019-06-15,"May 30, 2019","Hip-Hop,Conscious Hip-Hop,Rap",
375,Joyner Lucas,Isis,59.0,2.0,2019-06-15,"May 7, 2019","Trap,Hip-Hop,East Coast,DMV,Rap",Logic
381,Logic,Homicide,5.0,5.0,2019-06-15,"May 3, 2019","Trap,Hip-Hop,DMV,Rap",Eminem
387,Trippie Redd,Under Enemy Arms,,,2019-06-15,"May 29, 2019",Rap,
393,Jon Pardi,Night Shift,56.0,16.0,2019-06-15,"June 17, 2016",Country,
442,21 Savage,A Lot,12.0,23.0,2019-06-08,"December 21, 2018","East Coast,Trap,Rap",
443,Blueface,Thotiana,8.0,20.0,2019-06-08,"February 16, 2019","Trap,Hip-Hop,West Coast,East Coast,Remix,Rap",
470,DJ Khaled,Higher,21.0,2.0,2019-06-08,"May 17, 2019","Neo Soul,West Coast,Rap","Nipsey Hussle, John Legend"
481,The Chainsmokers,Who Do You Love,52.0,16.0,2019-06-08,"February 7, 2019","Future Bass,Dance-Pop,Dance,Australia,Pop",5 Seconds Of Summer
482,Mabel,Don't Call Me Up,66.0,10.0,2019-06-08,"January 18, 2019","R&;B,UK,Pop",
483,Lil Dicky,Earth,17.0,6.0,2019-06-08,"April 19, 2019","Memes,Charity,R&;B,Conscious Hip-Hop,Comedy,Satire,Afrobeats,UK,Climate Change,Pop,Hip-Hop,Rap",
485,Lizzo,Juice,93.0,2.0,2019-06-08,"January 4, 2019","Electro-Funk,Funk-Pop,Funk,Dance,Dance-Pop,Alternative Pop,Synth-Pop,R&;B",
488,Maluma,HP,,,2019-06-08,"March 1, 2019","Colombia,Reggaeton,Latin Pop,Latin Music,Latin Urban,En Espa\xc3\xb1ol,Pop",
490,YNW Melly,Mixed Personalities,42.0,18.0,2019-06-08,"January 18, 2019","Rap,Trap",Kanye West
491,Bazzi,Paradise,91.0,3.0,2019-06-08,"April 4, 2019",Pop,
492,Jhene Aiko,Triggered,51.0,3.0,2019-06-08,"May 8, 2019","West Coast,R&;B",
527,Maroon 5,Girls Like You,1.0,52.0,2019-06-01,"May 30, 2018","Pop-Rock,East Coast,Remix,Rap,Pop",Cardi B
543,"Tyler, The Creator",I Think,,,2019-06-01,"May 17, 2019","Electro-Funk,Funk,Alternative Dance,Nu Disco,Disco,Nigeria,Rap,Neo Soul,Alternative R&;B,R&;B,Alternative,Experimental,West Coast",
544,DJ Khaled,Celebrate,,,2019-06-01,"May 17, 2019","Trap,Pop,R&;B","Travis Scott, Post Malone"
549,DJ Khaled,Jealous,,,2019-06-01,"May 17, 2019","Rap,R&;B","Chris Brown, Lil Wayne, Big Sean"
557,"Tyler, The Creator",Running Out Of Time,,,2019-06-01,"May 17, 2019","Rap,Neo Soul,Alternative R&;B,R&;B,Experimental,Alternative,West Coast",
559,"Tyler, The Creator",Igor's Theme,,,2019-06-01,"May 17, 2019","Alternative,Rap,Experimental",
562,"Tyler, The Creator",New Magic Wand,,,2019-06-01,"May 17, 2019","Experimental,Psychedelic Soul,Hip-Hop,Rap,Psychedelic,Alternative",
565,"Tyler, The Creator",A Boy Is A Gun,,,2019-06-01,"May 17, 2019","Rap,Neo Soul,Alternative R&;B,Experimental,Alternative,West Coast,Alternative Pop,R&;B",
576,"Tyler, The Creator",What's Good,,,2019-06-01,"May 17, 2019","Rap,Hardcore Hip-Hop,Experimental,Alternative,West Coast",
577,Lady Antebellum,What If I Never Get Over You,,,2019-06-01,"May 17, 2019","Ballad,Country",
579,"Tyler, The Creator",Puppet,,,2019-06-01,"May 17, 2019","Rap,Neo-Psychedelia,Psychedelic,Experimental,Soul,Alternative,West Coast",
582,DJ Khaled,Weather The Storm,,,2019-06-01,"May 17, 2019","Atlanta,Trap,Rap","Meek Mill, Lil Baby"
589,Brett Young,Here Tonight,42.0,20.0,2019-06-01,"September 14, 2018",Country,
635,Dean Lewis,Be Alright,23.0,29.0,2019-05-25,"June 28, 2018","Rock,Alternative Pop,Alternative Rock,Indie Pop,Indie Rock,Singer-Songwriter,Alternative,Indie,Australia,Pop",
637,"Lil Baby, Gunna",Drip Too Hard,4.0,35.0,2019-05-25,"September 9, 2018","Hip-Hop,Atlanta,Memes,Motown,Trap,Rap",
640,Ariana Grande,"Thank U, Next",1.0,28.0,2019-05-25,"November 3, 2018","Dream-Pop,Memes,R&;B,Pop",
648,Pinkfong,Baby Shark,32.0,20.0,2019-05-25,"June 17, 2016","Alternative Rock,Memes,Children&#39;s Music,Pop",
670,Old Dominion,Make It Sweet,56.0,20.0,2019-05-25,"October 8, 2018",Country,
678,Ella Mai,Shot Clock,62.0,16.0,2019-05-25,"October 12, 2018","UK,R&;B",
679,"Lauv, Troye Sivan",I'm So Tired...,81.0,6.0,2019-05-25,"January 24, 2019",Pop,
