,Artist,Name,Weekly_rank_avg,Peak_Position,Weeks_on_Chart,Genre
3601,Glee Cast,"HELLO, I LOVE YOU",69.15,,,"TV,Soundtrack,Screen,Rock,Cover,Pop"
3602,Taylor Swift,FEARLESS,87.36363636363636,9.0,15.0,"Pop Country,Country,Pop"
3603,Roscoe Dash,ALL THE WAY TURNT UP,55.65,46.0,12.0,Rap
3604,Pearl Jam,JUST BREATHE,17.103448275862068,78.0,14.0,"Adult Alternative,Acoustic,Ballad,Rock"
3605,Jay,ON TO THE NEXT ONE,44.08,37.0,14.0,Rap
3606,Billy Currington,THAT'S HOW COUNTRY BOYS ROLL,53.1,57.0,20.0,"Country,Rock"
3607,New Boyz,TIE ME DOWN,61.142857142857146,22.0,26.0,Rap
3608,B.o.B,DON'T LET ME FALL,65.88888888888889,,,Rap
3609,Yo Gotti,"WOMEN LIE, MEN LIE",66.0,81.0,7.0,Rap
3610,Birdman,4 MY TOWN,26.785714285714285,90.0,3.0,"Canada,Rap"
3611,Taylor Swift,YOU BELONG WITH ME,61.125,2.0,50.0,"Pop Country,Country,Pop"
3612,Rob Thomas,SOMEDAY,44.43478260869565,59.0,22.0,Pop
3613,Rihanna,HARD,67.0,8.0,20.0,"Trap,Rap"
3614,Alicia Keys,TRY SLEEPING WITH A BROKEN HEART,68.0,27.0,20.0,"R&;B,Soul,Soul Pop,Pop"
3615,Melanie Fiona,IT KILLS ME,85.66666666666667,43.0,20.0,Pop
3616,Josh Turner,WHY DON'T WE JUST DANCE,31.130434782608695,35.0,20.0,"Country,Rock"
3617,T,REVERSE COWGIRL,76.0,,,"R&;B,Rap"
3618,Snoop Dogg,I WANNA ROCK,100.0,41.0,15.0,Rap
3619,Sade,SOLDIER OF LOVE,56.5,52.0,11.0,"Soul Pop,Rock,Soul,Pop,R&;B"
3620,Justin Bieber,THAT SHOULD BE ME,64.9375,,,"Canada,Pop"
3621,Owl City,FIREFLIES,24.653846153846153,1.0,31.0,"Synth-Pop,Electronic,Memes,Pop"
3622,Jason Derulo,WHATCHA SAY,72.5,1.0,32.0,"Pop,R&;B"
3623,Jay Sean,DO YOU REMEMBER,54.73913043478261,10.0,20.0,"R&;B,Rap"
3624,Jason Aldean,THE TRUTH,7.5,40.0,20.0,"Country,Rock"
3625,Disney's Friends For Change,MAKE A WAVE,69.22727272727273,,,Rock
3626,Brad Paisley,AMERICAN SATURDAY NIGHT,22.91304347826087,67.0,15.0,Country
3627,Avril Lavigne,ALICE,66.0,71.0,3.0,"Canada,Rock"
3628,Jaheim,AIN'T LEAVIN WITHOUT YOU,48.35,93.0,4.0,R&;B
3629,Phoenix,1901,87.55555555555556,84.0,13.0,"Adult Alternative,Alternative Rock,Synth Rock,Electronic Rock,Indie Rock,Rock"
3630,Boys Like Girls,TWO IS BETTER THAN ONE,69.5,18.0,21.0,"Pop Country,Pop-Rock,Pop-Punk,Ballad,Country,Pop"
3631,Shinedown,IF YOU ONLY KNEW,78.41176470588235,42.0,20.0,Rock
3632,Darius Rucker,HISTORY IN THE MAKING,90.88888888888889,61.0,20.0,"Country,Rock"
3633,Sam Adams,DRIVING ME CRAZY,57.38095238095238,,,Rap
3634,Justin Bieber,NEVER LET YOU GO,49.21212121212121,21.0,2.0,"R&;B,Canada,Pop"
3635,Mario,OOH BABY,85.16666666666667,,,"R&;B,Rap"
3636,Owl City,VANILLA TWILIGHT,94.625,72.0,5.0,"Electronic,Pop"
3637,Danny Gokey,MY BEST DAYS ARE AHEAD OF ME,65.25,,,Pop
3638,Trey Songz,I INVENTED SEX,36.083333333333336,42.0,20.0,"R&;B,Rap"
3639,3OH!3,FOLLOW ME DOWN,84.52631578947368,89.0,2.0,"Electro-Pop,Dance-Pop,Pop"
3640,Pitbull,SHUT IT DOWN,54.7,42.0,14.0,Rap
3641,Lil Wayne,KNOCKOUT,54.94444444444444,44.0,5.0,"Rock,Pop-Punk,Punk Rock,Rap"
3642,Kelly Clarkson,ALREADY GONE,51.8,13.0,31.0,"R&;B,Pop"
3643,Kings Of Leon,USE SOMEBODY,68.5,4.0,57.0,"Pop-Rock,Pop,Rock"
3644,Drake,FOREVER,95.0,8.0,24.0,"NBA,Canada,R&;B,Basketball,Soundtrack,Rap"
3645,The Black Eyed Peas,MEET ME HALFWAY,58.0,7.0,24.0,"Pop,New Wave,Dance-Pop"
3646,Lady Gaga,PAPARAZZI,41.42857142857143,6.0,27.0,"Dance-Pop,Pop"
3647,Toby Keith,CRYIN' FOR ME,66.11111111111111,73.0,12.0,"Country,Rock"
3648,Miranda Lambert,WHITE LIAR,54.0,38.0,20.0,"Country,News"
3649,General Larry Platt,PANTS ON THE GROUND,43.0,46.0,3.0,Rap
3650,Snoop Dogg,GANGSTA LUV,27.44,35.0,19.0,Rap
3651,Creed,RAIN,19.428571428571427,91.0,3.0,"Adult Alternative,Pop-Rock,Country,Roots,Rock"
3652,Kellie Pickler,DIDN'T YOU KNOW HOW MUCH I LOVED YOU,90.0,97.0,2.0,"Country,Rock"
3653,Miley Cyrus,PARTY IN THE U.S.A.,87.81818181818181,2.0,28.0,Pop
3654,Britney Spears,3,70.81481481481481,1.0,20.0,"Electronic,Dance,Electro-Pop,Pop"
3655,Birdman,MONEY TO BLOW,34.8974358974359,26.0,20.0,Rap
3656,Christopher Wilde,STARSTRUCK,54.0,,,"Disney,Soundtrack,Pop"
3657,Tim McGraw,SOUTHERN VOICE,20.884615384615383,49.0,18.0,"Country,Rock"
3658,Nickelback,NEVER GONNA BE ALONE,70.42105263157895,58.0,17.0,"Ballad,Acoustic,Pop-Rock,Rock"
3659,Mariah Carey,UP OUT MY FACE,20.244897959183675,,,"R&;B,Pop"
3660,Dierks Bentley,I WANNA MAKE YOU CLOSE YOUR EYES,62.0,52.0,20.0,Country
3661,Chris Brown,I CAN TRANSFORM YA,61.0,20.0,19.0,"DMV,Crunk,Rap"
3662,Gucci Mane,SPOTLIGHT,73.77777777777777,42.0,16.0,"R&;B,Rap"
3663,Dave Matthews Band,YOU AND ME,90.0,57.0,2.0,Rock
3664,Snow Patrol,SET THE FIRE TO THE THIRD BAR,26.16216216216216,54.0,5.0,Rock
3665,Cascada,EVACUATE THE DANCEFLOOR,87.0,25.0,26.0,Pop
3666,Beyonce,SWEET DREAMS,92.0,10.0,29.0,"R&;B,Pop"
3667,Lil Wayne,FUCK TODAY,26.26086956521739,,,Rap
3668,Reba,CONSIDER ME GONE,86.4,38.0,19.0,Country
3669,Shiny Toy Guns,MAJOR TOM,55.63157894736842,,,Pop
3670,Colbie Caillat,FALLIN' FOR YOU,77.0,12.0,31.0,Pop
3671,"Sheryl Crow, Kid Rock, Keith Urban",LEAN ON ME,42.0,,,Pop
3672,Carrie Underwood,COWBOY CASANOVA,85.375,11.0,20.0,Country
3673,Taylor Swift,BREATHLESS,93.55555555555556,,,"Country,Pop"
3674,Jay,STRANDED,27.09090909090909,16.0,2.0,R&;B
3675,Justin Bieber,ONE LESS LONELY GIRL,82.5,16.0,16.0,"Canada,Pop"
3676,Eddie Vedder,MY CITY OF RUINS,65.06666666666666,,,Pop
3677,Jake Owen,EIGHT SECOND RIDE,17.0,70.0,13.0,"Country,R&;B,Rock"
3678,Usher,PAPERS,53.75,31.0,16.0,"Producer,R&;B,Pop"
3679,Jennifer Hudson,LET IT BE,42.6,,,Pop
3680,Jason Michael Carroll,HURRY HOME,29.613636363636363,,,Pop
3681,Taylor Swift,FIFTEEN,82.0,23.0,21.0,"Pop Country,Country,Pop"
3682,Muse,UPRISING,53.9,37.0,20.0,"Soundtrack,Alternative Rock,Progressive Rock,Art Rock,Rock"
3683,Three Days Grace,BREAK,56.4,73.0,20.0,"Alternative Rock,Rock"
3684,Chris Brown,CRAWL,56.75,53.0,9.0,"DMV,Pop,R&;B"
3685,50 Cent,BABY BY ME,81.0,28.0,13.0,Rap
3686,Shakira,GIVE IT UP TO ME,67.0,29.0,11.0,"Rap,Synth-Pop,Pop"
3687,Rihanna,RUSSIAN ROULETTE,46.958333333333336,9.0,14.0,"Soul Pop,Neo Soul,Synth-Pop,R&;B,Pop"
3688,Lady Antebellum,READY TO LOVE AGAIN,82.05,,,"Pop,Country"
3689,Luke Bryan,DO I,34.0,34.0,20.0,"Country,Rock"
3690,Breaking Benjamin,I WILL NOT BOW,87.0,40.0,20.0,"Post-Grunge,Alternative Metal,Alternative Rock,Rock"
3691,Cobra Starship,HOT MESS,77.0,64.0,5.0,"Blues,Rock"
3692,Justin Bieber,ONE TIME,32.72222222222222,17.0,25.0,"Canada,Pop"
3693,David Nail,RED LIGHT,82.0,54.0,16.0,Pop
3694,Lady Antebellum,LOVE THIS PAIN,47.142857142857146,,,"Pop,Country"
3695,Maxwell,BAD HABITS,81.0,71.0,14.0,"Neo Soul,Soul,R&;B"
3696,Jay,RUN THIS TOWN,65.0,2.0,23.0,"Rap Rock,R&;B,Pop,Rap"
3697,P!nk,FUNHOUSE,13.333333333333334,44.0,13.0,"Funk,Pop,Rock"
3698,Ester Dean,DROP IT LOW,29.2,38.0,17.0,"R&;B,Rap"
3699,Chris Young,GETTIN' YOU HOME,61.1,33.0,20.0,Country
3700,Weezer,I WANT YOU TO,92.0,81.0,9.0,"Alternative Rock,Power Pop,Pop-Punk,Rock"
3701,Eminem,MUSIC BOX,86.5,,,"Horrorcore,Rap"
3702,Craig Morgan,BONFIRE,69.5,57.0,14.0,Pop
3703,Beyonce,VIDEO PHONE,62.7,65.0,5.0,"Crunk,R&;B,Pop"
3704,Thirty Seconds To Mars,KINGS AND QUEENS,65.75,82.0,5.0,"Alternative Rock,Alternative,Rock"
3705,Eminem,HELL BREAKS LOOSE,97.0,,,"Horrorcore,Rap"
3706,Eminem,ELEVATOR,47.85,,,Rap
3707,Lil Wayne,ON FIRE,90.83333333333333,62.0,2.0,Rap
3708,Omarion,I GET IT IN,40.95454545454545,83.0,7.0,"R&;B,Rap"
3709,Glee Cast,MY LIFE WOULD SUCK WITHOUT YOU,66.25,,,"TV,Soundtrack,Screen,Pop-Rock,Cover,Pop"
3710,Glee Cast,DON'T RAIN ON MY PARADE,77.45,,,"TV,Big Band,Musicals,Cover,Pop,Screen,Soundtrack"
3711,Glee Cast,YOU CAN'T ALWAYS GET WHAT YOU WANT,27.4,,,"TV,Screen,Soundtrack,A Cappella,Cover,Pop"
3712,Thirty Seconds To Mars,THIS IS WAR,61.38461538461539,,,Rock
3713,Chris Brown,WHAT I DO,82.0,,,"DMV,Rap"
3714,Glee Cast,AND I AM TELLING YOU I'M NOT GOING,90.7,,,"Soundtrack,TV,Screen,Musicals,R&;B,Soul,Cover,Pop"
3715,George Strait,TWANG,27.358974358974358,,,"Country,Rock"
3716,Zac Brown Band,TOES,19.285714285714285,25.0,20.0,"Country,Rock"
3717,"Michael Franti, Spearhead",SAY HEY,26.71875,18.0,20.0,"Dancehall,Ska Punk,Ska,Adult Alternative,Pop,Reggae,Rap"
3718,Timbaland,MORNING AFTER DARK,51.85,61.0,2.0,"Pop,Rap"
3719,Foo Fighters,WHEELS,52.476190476190474,72.0,10.0,Rock
3720,Trace Adkins,ALL I ASK FOR ANYMORE,39.130434782608695,95.0,2.0,Country
3721,LeToya,REGRET,21.08,78.0,8.0,Pop
3722,Shakira,SHE WOLF,46.6,11.0,20.0,"Dance,Electro-Pop,Electronic,Pop"
3723,Mariah Carey,OBSESSED,54.65,7.0,21.0,"Hip-Hop,Beef,R&;B,Pop"
3724,Adam Lambert,FOR YOUR ENTERTAINMENT,27.1875,61.0,2.0,"Pop-Rock,Glam Rock,Pop"
3725,Francesca Battistelli,IT'S YOUR LIFE,86.0,,,Pop
3726,Alicia Keys,DOESN'T MEAN ANYTHING,34.5,60.0,10.0,"Pop,Neo Soul,R&;B"
3727,Bon Jovi,WE WEREN'T BORN TO FOLLOW,17.821428571428573,68.0,4.0,Rock
3728,Susan Boyle,WILD HORSES,94.0,,,Pop
3729,Mario,BREAK UP,96.0,14.0,23.0,"Crunk,East Coast,Electro-Pop,Pop,R&;B,Rap"
3730,Pitbull,HOTEL ROOM SERVICE,80.0,8.0,23.0,"Pop,Rap"
3731,Glee Cast,DON'T STAND SO CLOSE TO ME / YOUNG GIRL,44.2,,,"TV,Mashup,Cover,Screen,Soundtrack,Pop"
3732,Glee Cast,I'LL STAND BY YOU,86.46153846153847,,,"Screen,TV,Soundtrack,Cover,Ballad,Pop"
3733,Glee Cast,DEFYING GRAVITY,85.25,31.0,3.0,"Cover,Screen,Soundtrack,TV,Musicals,Pop"
3734,Glee Cast,ENDLESS LOVE,65.0,,,"Cover,Ballad,Screen,Soundtrack,Pop"
3735,Justin Bieber,DOWN TO EARTH,69.33333333333333,,,"Canada,Pop"
3736,Yo Gotti,5 STAR,18.85,79.0,2.0,"Remix,Rap"
3737,Keith Urban,ONLY YOU CAN LOVE ME THIS WAY,70.5,34.0,19.0,"Ballad,Country,Rock"
3738,Brad Paisley,WELCOME TO THE FUTURE,90.625,42.0,16.0,Country
3739,Justin Bieber,BIGGER,20.178571428571427,,,"Canada,Pop"
3740,50 Cent,THE INVITATION,95.0,,,Rap
3741,Justin Bieber,FIRST DANCE,27.46153846153846,,,"Canada,Pop"
3742,Boys Like Girls,LOVE DRUNK,89.0,22.0,20.0,"Pop,Pop-Punk,Pop-Rock"
3743,Cobra Starship,GOOD GIRLS GO BAD,74.25,7.0,25.0,"Alternative,Blues,Rock"
3744,Justin Bieber,FAVORITE GIRL,94.0,26.0,2.0,"Canada,Pop"
3745,Drake,SUCCESSFUL,70.65,17.0,18.0,"DMV,Canada,Rap"
3746,Anya Marina,WHATEVER YOU LIKE,48.19565217391305,,,Pop
3747,Mary Mary,GOD IN ME,47.05,68.0,20.0,"R&;B,Gospel"
3748,Taylor Swift,JUMP THEN FALL,90.33333333333333,10.0,3.0,"Country,Pop"
3749,Toby Keith,AMERICAN RIDE,86.27272727272727,35.0,16.0,"Country,Rock"
3750,Timbaland,UNDERTOW,73.85714285714286,,,"Pop,Rap"
3751,Fabolous,THROW IT IN THE BAG,43.666666666666664,14.0,23.0,"Producer,Rap"
3752,Green Day,21 GUNS,97.0,22.0,20.0,"Alternative Rock,Rock"
3753,3OH!3,STARSTRUKK,78.25,66.0,12.0,Rap
3754,R. Kelly,NUMBER ONE,41.0,59.0,11.0,"Soul,R&;B"
3755,Sean Kingston,FACE DROP,40.214285714285715,61.0,9.0,Pop
3756,Cage The Elephant,AIN'T NO REST FOR THE WICKED,82.0,83.0,11.0,"Adult Alternative,Alternative Rock,Indie Rock,Rock"
3757,Taylor Swift,THE OTHER SIDE OF THE DOOR,90.0,23.0,2.0,"Country,Pop"
3758,Taylor Swift,SUPERSTAR,89.4,,,"Country,Pop"
3759,Taylor Swift,COME IN WITH THE RAIN,65.86666666666666,,,"Country,Pop"
3760,Flo Rida,BE ON YOU,88.5,19.0,16.0,Rap
3761,Pleasure P,UNDER,78.46666666666667,78.0,10.0,"R&;B,Rap"
3762,Chamillionaire,GOOD MORNING,68.22222222222223,40.0,3.0,"Pop,Rap"
3763,New Boyz,YOU'RE A JERK,28.25,24.0,20.0,Rap
3764,Glee Cast,SWEET CAROLINE,73.0,,,"Adult Contemporary,Cover,Screen,Soundtrack,TV,Pop"
3765,Pitbull,I KNOW YOU WANT ME,27.11111111111111,2.0,35.0,"Eurodance,Rap"
3766,The Black Eyed Peas,BOOM BOOM POW,41.095238095238095,1.0,33.0,"Electronic,Dance,Pop,Rap"
3767,Keri Hilson,KNOCK YOU DOWN,18.272727272727273,3.0,31.0,"Pop,R&;B,Rap"
3768,Jason Aldean,BIG GREEN TRACTOR,80.22222222222223,18.0,20.0,"Country,Rock"
3769,Adam Lambert,TIME FOR MIRACLES,50.55,,,"Pop-Rock,Glam Rock,Pop"
3770,T,TAKE YOUR SHIRT OFF,25.483870967741936,,,"Crunk,Rap"
3771,Glee Cast,BUST A MOVE,28.57777777777778,,,"R&;B,Cover,Screen,Soundtrack,TV,Rap"
3772,Daughtry,NO SURPRISE,53.5,15.0,24.0,Rap
3773,Glee Cast,NO AIR,89.0,,,"Cover,Screen,R&;B,Soundtrack,TV,Pop"
3774,Justin Moore,SMALL TOWN USA,57.666666666666664,44.0,20.0,"Country,Rock"
3775,Glee Cast,IT'S MY LIFE / CONFESSIONS PART II,67.5,30.0,2.0,"Mashup,TV,Screen,Soundtrack,Cover,Pop"
3776,Wonder Girls,NOBODY,95.5,,,"K-Pop (\xec\xbc\x80\xec\x9d\xb4\xed\x8c\x9d),Korean,Pop"
3777,Five For Fighting,CHANCES,86.5,,,"Pop,Pop-Rock,Rock"
3778,Glee Cast,HALO / WALKING ON SUNSHINE,66.6,40.0,2.0,"TV,Screen,Soundtrack,Cover,Mashup,Pop"
3779,T.I.,HELL OF A LIFE,51.95,54.0,2.0,Rap
3780,Kings Of Leon,NOTION,77.0,,,Rock
3781,Jordin Sparks,BATTLEFIELD,75.6,10.0,22.0,"R&;B,Pop"
3782,P!nk,PLEASE DON'T LEAVE ME,87.38888888888889,17.0,26.0,"Pop,Rock"
3783,Dorrough,ICE CREAM PAINT JOB,87.26315789473684,27.0,20.0,Rap
3784,Eric Church,LOVE YOUR LOVE THE MOST,31.0625,63.0,16.0,"Country,Rock"
3785,Darryl Worley,SOUNDS LIKE LIFE TO ME,43.30769230769231,84.0,11.0,Pop
3786,Pearl Jam,THE FIXER,27.63888888888889,56.0,7.0,Rock
3787,LMFAO,I'M IN MIAMI TRICK,94.6,51.0,20.0,Pop
3788,Alice In Chains,CHECK MY BRAIN,96.0,92.0,4.0,Rock
3789,Katy Perry,WAKING UP IN VEGAS,82.0,9.0,23.0,"Pop-Rock,Power Pop,Pop"
3790,Maxwell,PRETTY WINGS,27.0,33.0,23.0,"Neo Soul,Soul,R&;B"
3791,Rob Thomas,HER DIAMONDS,81.0,23.0,20.0,Pop
3792,Linkin Park,NEW DIVIDE,72.41176470588235,6.0,20.0,"Alternative,Alternative Rock,Electronic Rock,Electronic,Rock"
3793,Paramore,CAREFUL,70.72222222222223,,,"Pop-Punk,Emo,Alternative Rock,Rock"
3794,Glee Cast,MAYBE THIS TIME,55.36842105263158,,,"Pop,Cover,Screen,Soundtrack,TV,Musicals"
3795,George Strait,LIVING FOR THE NIGHT,84.0,53.0,17.0,"Country,Rock"
3796,Blake Shelton,I'LL JUST HOLD ON,34.45,76.0,14.0,"Country,Rock"
3797,Randy Houser,BOOTS ON,21.7,53.0,19.0,Country
3798,Sean Kingston,FIRE BURNING,28.5,5.0,21.0,Rap
3799,Jason Mraz,I'M YOURS,24.75,6.0,76.0,"Adult Contemporary,Adult Alternative,Pop-Rock,Pop,Rock"
3800,Glee Cast,TAKING CHANCES,56.625,,,"Cover,Screen,Soundtrack,TV,Pop"
3801,Beyonce,EGO,53.56410256410256,39.0,17.0,"R&;B,Pop"
3802,The All,I WANNA,58.5,92.0,2.0,Rock
3803,Young Money,EVERY GIRL,65.0,10.0,20.0,Rap
3804,Kid Cudi,MAKE HER SAY,91.0,43.0,15.0,Rap
3805,David Cook,COME BACK TO ME,80.5,63.0,19.0,Rock
3806,Ginuwine,LAST CHANCE,56.05,63.0,16.0,"R&;B,Rap"
3807,Mat Kearney,CLOSER TO LOVE,92.92307692307692,91.0,7.0,"Adult Alternative,Adult Contemporary,Pop,Pop-Rock,Rock"
3808,Lady Gaga,LOVEGAME,93.0,5.0,22.0,"Dance-Pop,Pop"
3809,Miley Cyrus,THE CLIMB,85.17647058823529,4.0,28.0,"Disney,Soundtrack,Pop-Rock,Country,Pop"
3810,Glee Cast,TAKE A BOW,94.5,,,"R&;B,Cover,Screen,Soundtrack,TV,Pop"
3811,Billy Currington,PEOPLE ARE CRAZY,30.0,27.0,20.0,"Country,Rock"
3812,Jack Ingram,BAREFOOT AND CRAZY,43.81818181818182,64.0,12.0,Pop
3813,Disney's Friends For Change,SEND IT ON,59.21052631578947,20.0,5.0,Pop
3814,Parachute,SHE IS LOVE,89.0,66.0,7.0,Rock
3815,Three 6 Mafia,SHAKE MY,95.66666666666667,75.0,3.0,Rap
3816,Twista,WETTER,70.0,44.0,16.0,Rap
3817,Sugarland,JOEY,72.0,89.0,3.0,"Country,Rock"
3818,Tim McGraw,IT'S A BUSINESS DOING PLEASURE WITH YOU,100.0,59.0,7.0,"Country,Rock"
3819,Shinedown,SECOND CHANCE,62.57142857142857,7.0,41.0,"Adult Contemporary,Adult Alternative,Post-Grunge,Alternative Rock,Rock"
3820,Gloriana,WILD AT HEART,65.25,53.0,15.0,Country
3821,Trey Songz,I NEED A GIRL,31.638297872340427,59.0,16.0,R&;B
3822,Whitney Houston,MILLION DOLLAR BILL,73.0,,,"West Coast,East Coast,Funk,Pop,Soul Pop,Soul,R&;B"
3823,Theory Of A Deadman,NOT MEANT TO BE,56.89473684210526,55.0,21.0,Rock
3824,Sean Paul,SO FINE,48.5,50.0,9.0,Rap
3825,Creed,OVERCOME,49.5,,,Rock
3826,Kenny Chesney,OUT LAST NIGHT,77.07692307692308,16.0,20.0,"Country,Rock"
3827,Britney Spears,RADAR,99.0,88.0,3.0,"Synth-Pop,Electro-Pop,Pop"
3828,Wale,CHILLIN,95.0,,,Rap
3829,Skillet,AWAKE AND ALIVE,10.0,,,"Christian Rock,Christian,Rock"
3830,Jeremih,BIRTHDAY SEX,65.0,4.0,20.0,R&;B
3831,3OH!3,DON'T TRUST ME,87.0,7.0,37.0,"Electronic,Pop,Rap"
3832,Kellie Pickler,BEST DAYS OF YOUR LIFE,46.85,46.0,20.0,"Country,Rock"
3833,Flo Rida,JUMP,81.0,54.0,6.0,Rap
3834,Demi Lovato,HERE WE GO AGAIN,80.8125,15.0,9.0,"Power Pop,Pop-Rock,Pop"
3835,Shinedown,SOUND OF MADNESS,51.8,85.0,9.0,Rock
3836,David Guetta,WHEN LOVE TAKES OVER,90.6,76.0,9.0,"Dance,Electro-Pop,Pop"
3837,Nickelback,IF TODAY WAS YOUR LAST DAY,54.5,19.0,22.0,Rock
3838,The Fray,YOU FOUND ME,90.0,7.0,39.0,"Pop,Alternative Rock,Rock"
3839,Taylor Swift,LOVE STORY,98.0,4.0,49.0,"Pop Country,Country,Pop"
3840,Dierks Bentley,SIDEWAYS,79.77777777777777,35.0,20.0,Country
3841,Kelly Clarkson,I DO NOT HOOK UP,79.0,20.0,18.0,"Pop,Pop-Rock,Power Pop"
3842,Carolina Liar,SHOW ME WHAT I'M LOOKING FOR,76.21052631578948,67.0,18.0,Rock
3843,The Ting Tings,THAT'S NOT MY NAME,32.05,39.0,26.0,"Dance-Pop,Indie Pop,New Wave,Rock"
3844,Lady Antebellum,I RUN TO YOU,65.0,27.0,21.0,"Country,Rock"
3845,Jamie Foxx,DIGITAL GIRL,57.46153846153846,,,"R&;B,Rap"
3846,T.I.,REMEMBER ME,55.8,29.0,2.0,Rap
3847,Hannah Montana,HE COULD BE THE ONE,30.8,10.0,5.0,"Pop-Rock,Disney,Soundtrack,Pop"
3848,Brad Paisley,THEN,55.0,28.0,20.0,Country
3849,Birdman,ALWAYS STRAPPED,62.0,54.0,17.0,"Trap,Rap"
3850,Michelle Branch,SOONER OR LATER,90.4,,,Pop
3851,Martina McBride,I JUST CALL YOU MINE,89.0,,,Country
3852,Flo Rida,RIGHT ROUND,60.75,1.0,26.0,Rap
3853,Zac Brown Band,WHATEVER IT IS,60.666666666666664,26.0,20.0,"Country,Rock"
3854,Keith Urban,KISS A GIRL,100.0,16.0,20.0,"Country,Rock"
3855,Reba,STRANGE,57.0,76.0,9.0,Country
3856,Green Day,KNOW YOUR ENEMY,95.0,28.0,15.0,"Punk Rock,Alternative Rock,Pop-Rock,Pop-Punk,Rock"
3857,Demi Lovato,CATCH ME,74.14285714285714,,,"Baroque Pop,Glam Rock,Pop-Rock,Pop,Rock"
3858,The,WALKIN' ON THE MOON,9.333333333333334,87.0,9.0,"Pop,Electronic,R&;B,Rap"
3859,Beastie Boys,TOO MANY RAPPERS,28.4375,,,Rap
3860,Jason Mraz,IF IT KILLS ME,63.94736842105263,,,Rock
3861,Sugarland,IT HAPPENS,69.1875,33.0,20.0,"Country,Rock"
3862,Pleasure P,BOYFRIEND #2,84.4,42.0,18.0,"R&;B,Rap"
3863,Daughtry,YOU DON'T BELONG,35.806451612903224,,,Rock
3864,Lady Gaga,JUST DANCE,39.96153846153846,1.0,49.0,"Dance-Pop,Pop"
3865,Maino,ALL THE ABOVE,38.229166666666664,39.0,20.0,Rap
3866,Paramore,IGNORANCE,58.0,,,"Alternative,Emo,Alternative Rock,Pop-Punk,Rock"
3867,Hannah Montana,I WANNA KNOW YOU,98.0,,,"Disney,Soundtrack,Pop"
3868,Hannah Montana,ICE CREAM FREEZE,65.78947368421052,,,"Disney,Soundtrack,Pop"
3869,Lupe Fiasco,SHINING DOWN,93.14285714285714,,,Rap
3870,"Selena Gomez, Demi Lovato",ONE AND THE SAME,82.5,,,"Disney,Children&#39;s Music,Soundtrack,Pop"
3871,Toby Keith,LOST YOU ANYWAY,77.1,69.0,10.0,"Country,Rock"
3872,Alan Jackson,SISSY'S SONG,77.0,61.0,13.0,Country
3873,Rodney Atkins,IT'S AMERICA,97.77777777777777,44.0,20.0,Country
3874,Montgomery Gentry,ONE IN EVERY CROWD,50.55,53.0,17.0,Country
3875,Soulja Boy Tell 'em,KISS ME THRU THE PHONE,96.625,3.0,27.0,Rap
3876,Britney Spears,IF U SEEK AMY,36.0,19.0,20.0,"Electro-Pop,Dance-Pop,Pop"
3877,The Lonely Island,I'M ON A BOAT,94.0,56.0,20.0,"Comedy,Rap"
3878,The Veronicas,TAKE ME ON THE FLOOR,22.423076923076923,81.0,2.0,"Rock,Electronic Rock,Dance,Electro-Pop,Pop"
3879,Dave Matthews Band,FUNNY THE WAY IT IS,42.68421052631579,37.0,8.0,"Adult Alternative,Alternative Rock,Folk Rock,Rock"
3880,Gorilla Zoe,ECHO,73.41176470588235,57.0,9.0,Rap
3881,T.I.,DEAD AND GONE,82.0,2.0,29.0,Rap
3882,Jonas Brothers,FLY WITH ME,59.31578947368421,,,"Rock,Pop-Rock,Pop"
3883,Eminem,WE MADE YOU,12.64102564102564,9.0,10.0,"Pop,Rap"
3884,Madcon,BEGGIN',67.35,79.0,10.0,Rap
3885,Jason Michael Carroll,WHERE I'M FROM,97.4,64.0,11.0,"Country,Rock"
3886,Musiq Soulchild,SOBEAUTIFUL,76.75,84.0,11.0,"Soul,R&;B"
3887,Rascal Flatts,HERE COMES GOODBYE,65.8695652173913,11.0,16.0,"Country,Rock"
3888,K'Jon,ON THE OCEAN,62.12,96.0,2.0,Rap
3889,Carrie Underwood,I TOLD YOU SO,56.52,9.0,18.0,Pop
3890,Kris Allen,NO BOUNDARIES,93.33333333333333,11.0,3.0,Pop
3891,Asher Roth,I LOVE COLLEGE,27.0,12.0,17.0,Rap
3892,Miley Cyrus,HOEDOWN THROWDOWN,74.0,18.0,13.0,"Soundtrack,Pop"
3893,Yung L.A.,AIN'T I,48.05263157894737,47.0,19.0,Rap
3894,Jason Aldean,SHE'S COUNTRY,78.0909090909091,29.0,20.0,Country
3895,David Cook,PERMANENT,65.0,24.0,2.0,Rock
3896,Kanye West,AMAZING,71.26666666666667,81.0,5.0,"Pop,R&;B,Rap"
3897,Eli Young Band,ALWAYS THE LOVE SONGS,90.0,69.0,11.0,Country
3898,Jennifer Hudson,IF THIS ISN'T LOVE,78.11764705882354,63.0,13.0,R&;B
3899,Ciara,LOVE SEX MAGIC,73.45,10.0,12.0,"Electro-Pop,Pop,R&;B"
3900,Ciara,NEVER EVER,30.291666666666668,66.0,15.0,"R&;B,Rap"
3901,Charice,NOTE TO GOD,69.3157894736842,,,Pop
3902,Kris Allen,APOLOGIZE,35.833333333333336,,,Pop
