,Artist,Name,Weekly_rank_avg,Peak_Position,Weeks_on_Chart,Genre
101,Kelsea Ballerini,MISS ME MORE,59.76190476190476,47.0,20.0,Country
102,Dreamville,DOWN BAD,89.83333333333333,,,"East Coast,Atlanta,Rap"
103,Joji,SANCTUARY,73.25,,,"Synth-Pop,Alternative R&;B,Pop,Ballad,Electronic"
104,Marshmello,RESCUE ME,66.38461538461539,,,"EDM,Pop-Punk,Electronic,Pop"
105,"Nicky Jam, Ozuna",TE ROBARE,85.0,91.0,6.0,"Reggaeton,Puerto Rico,Latin Urban,Latin Music,Latin Pop,En Espa\xc3\xb1ol,Pop"
106,Juice WRLD,ROBBERY,66.66666666666667,27.0,18.0,"Trap,Emo Rap,Emo,Rap"
107,Nipsey Hussle,RACKS IN THE MIDDLE,94.0,26.0,11.0,Rap
108,Luke Combs,BEAUTIFUL CRAZY,62.10526315789474,21.0,31.0,Country
109,Lil Baby,CLOSE FRIENDS,26.91304347826087,28.0,33.0,"Atlanta,Motown,Trap,Rap"
110,Billie Eilish,BURY A FRIEND,71.93333333333334,14.0,20.0,"Trap,Alternative,Dark Pop,Industrial,Alternative Pop,Electronica,Pop"
111,Luke Combs,EVEN THOUGH I'M LEAVING,84.0,,,Country
112,Yo Gotti,PUT A DATE ON IT,89.0,46.0,20.0,Rap
113,Avicii,HEAVEN,24.17391304347826,,,"Electro,EDM,Electro-Pop,Dance,Dance-Pop,Electronic,Scandipop,Scandinavia,Sverige,Pop"
114,Future,PLEASE TELL ME,90.0,,,"R&;B,Trap,Atlanta,Rap"
115,Cody Johnson,ON MY WAY TO YOU,38.21052631578947,78.0,16.0,Country
116,Ozuna,AMOR GENUINO,46.45,,,"Latin Pop,En Espa\xc3\xb1ol,Pop,Puerto Rico,Latin Music"
117,Future,XANAX DAMAGE,55.63636363636363,,,"Alternative R&;B,R&;B,Atlanta,Rap"
118,Future,GOVERNMENT OFFICIAL,38.083333333333336,,,"Atlanta,Trap,Rap"
119,Miley Cyrus,MOTHER'S DAUGHTER,58.8,,,"R&;B,LGBTQ+,Feminism,Pop"
120,YNW Melly,MURDER ON MY MIND,97.0,14.0,20.0,"Hip-Hop,Rap"
121,NF,THE SEARCH,38.42307692307692,,,"Hip-Hop,Conscious Hip-Hop,Rap"
122,Joyner Lucas,ISIS,21.35,59.0,2.0,"Trap,Hip-Hop,East Coast,DMV,Rap"
123,Logic,HOMICIDE,51.241379310344826,5.0,5.0,"Trap,Hip-Hop,DMV,Rap"
124,Trippie Redd,UNDER ENEMY ARMS,53.8,,,Rap
125,Jon Pardi,NIGHT SHIFT,79.83333333333333,56.0,16.0,Country
126,21 Savage,A LOT,29.35,12.0,23.0,"East Coast,Trap,Rap"
127,Blueface,THOTIANA,72.25,8.0,20.0,"Trap,Hip-Hop,West Coast,East Coast,Remix,Rap"
128,DJ Khaled,HIGHER,74.55555555555556,21.0,2.0,"Neo Soul,West Coast,Rap"
129,The Chainsmokers,WHO DO YOU LOVE,94.0,52.0,16.0,"Future Bass,Dance-Pop,Dance,Australia,Pop"
130,Mabel,DON'T CALL ME UP,88.0,66.0,10.0,"R&;B,UK,Pop"
131,Lil Dicky,EARTH,62.35,17.0,6.0,"Memes,Charity,R&;B,Conscious Hip-Hop,Comedy,Satire,Afrobeats,UK,Climate Change,Pop,Hip-Hop,Rap"
132,Lizzo,JUICE,83.125,93.0,2.0,"Electro-Funk,Funk-Pop,Funk,Dance,Dance-Pop,Alternative Pop,Synth-Pop,R&;B"
133,Maluma,HP,95.0,,,"Colombia,Reggaeton,Latin Pop,Latin Music,Latin Urban,En Espa\xc3\xb1ol,Pop"
134,YNW Melly,MIXED PERSONALITIES,51.2,42.0,18.0,"Rap,Trap"
135,Bazzi,PARADISE,61.55,91.0,3.0,Pop
136,Jhene Aiko,TRIGGERED,58.294117647058826,51.0,3.0,"West Coast,R&;B"
137,Maroon 5,GIRLS LIKE YOU,90.33333333333333,1.0,52.0,"Pop-Rock,East Coast,Remix,Rap,Pop"
138,"Tyler, The Creator",I THINK,68.0,,,"Electro-Funk,Funk,Alternative Dance,Nu Disco,Disco,Nigeria,Rap,Neo Soul,Alternative R&;B,R&;B,Alternative,Experimental,West Coast"
139,DJ Khaled,CELEBRATE,70.0,,,"Trap,Pop,R&;B"
140,DJ Khaled,JEALOUS,27.2,,,"Rap,R&;B"
141,"Tyler, The Creator",RUNNING OUT OF TIME,82.125,,,"Rap,Neo Soul,Alternative R&;B,R&;B,Experimental,Alternative,West Coast"
142,"Tyler, The Creator",IGOR'S THEME,77.0,,,"Alternative,Rap,Experimental"
143,"Tyler, The Creator",NEW MAGIC WAND,55.31578947368421,,,"Experimental,Psychedelic Soul,Hip-Hop,Rap,Psychedelic,Alternative"
144,"Tyler, The Creator",A BOY IS A GUN,29.714285714285715,,,"Rap,Neo Soul,Alternative R&;B,Experimental,Alternative,West Coast,Alternative Pop,R&;B"
145,"Tyler, The Creator",WHAT'S GOOD,80.0,,,"Rap,Hardcore Hip-Hop,Experimental,Alternative,West Coast"
146,Lady Antebellum,WHAT IF I NEVER GET OVER YOU,80.33333333333333,,,"Ballad,Country"
147,"Tyler, The Creator",PUPPET,56.0,,,"Rap,Neo-Psychedelia,Psychedelic,Experimental,Soul,Alternative,West Coast"
148,DJ Khaled,WEATHER THE STORM,100.0,,,"Atlanta,Trap,Rap"
149,Brett Young,HERE TONIGHT,39.0,42.0,20.0,Country
150,Dean Lewis,BE ALRIGHT,53.471698113207545,23.0,29.0,"Rock,Alternative Pop,Alternative Rock,Indie Pop,Indie Rock,Singer-Songwriter,Alternative,Indie,Australia,Pop"
151,"Lil Baby, Gunna",DRIP TOO HARD,23.94736842105263,4.0,35.0,"Hip-Hop,Atlanta,Memes,Motown,Trap,Rap"
152,Ariana Grande,"THANK U, NEXT",93.0,1.0,28.0,"Dream-Pop,Memes,R&;B,Pop"
153,Pinkfong,BABY SHARK,45.388888888888886,32.0,20.0,"Alternative Rock,Memes,Children&#39;s Music,Pop"
154,Old Dominion,MAKE IT SWEET,36.06060606060606,56.0,20.0,Country
155,Ella Mai,SHOT CLOCK,94.0,62.0,16.0,"UK,R&;B"
156,"Lauv, Troye Sivan",I'M SO TIRED...,48.25,81.0,6.0,Pop
157,Billie Eilish,YOU SHOULD SEE ME IN A CROWN,68.25,41.0,8.0,"Indie,Hip-Hop,Dark Pop,Alternative Pop,Alternative,Electro-Pop,Trap,Dream-Pop,Indie Pop,Pop"
158,Avicii,SOS,37.0,68.0,4.0,"Electro,Electronic,Electro-Pop,Dance-Pop,Dance,Scandipop,Scandinavia,West Coast,EDM,Sverige,Pop"
159,Billie Eilish,WISH YOU WERE GAY,68.4,31.0,11.0,"Indie,Indie Pop,Alternative,Alternative Pop,Pop"
160,Lil Uzi Vert,THAT'S A RACK,59.666666666666664,76.0,5.0,"East Coast,Trap,Rap"
161,2 Chainz,RULE THE WORLD,88.0,94.0,2.0,"R&;B,Rap"
162,Roddy Ricch,DIE YOUNG,68.0,99.0,2.0,"R&;B,Trap,Rap"
163,"Ellie Goulding, Diplo",CLOSE TO ME,37.763888888888886,24.0,25.0,"Electronic Trap,Dance-Pop,Trap,Electronic,Dance,Electro,Electro-Pop,Rap,Pop"
164,Lauren Daigle,YOU SAY,84.5,29.0,43.0,"Worship,Christian Pop,Pop,Christian"
