,Artist,Name,Genre,Weekly_rank_avg,Peak_Position,Weeks_on_Chart,grammy_win
63,"CARDI B, BRUNO MARS",PLEASE ME,"RAP,EAST COAST,WEST COAST,SOUL POP,R&;B,POP",0.3907453416149068,0.0204081632653061,0.1999999999999999,0.0
64,ERIC CHURCH,SOME OF IT,COUNTRY,0.1884649511978704,0.6530612244897959,0.0352941176470588,0.0
65,DAN + SHAY,ALL TO MYSELF,COUNTRY,0.8204968944099379,0.6632653061224489,0.0705882352941176,0.0
66,"BAD BUNNY, TAINY",CALLAITA,"POP,LATIN POP,DANCEHALL,REGGAETON,LATIN MUSIC,LATIN URBAN,PUERTO RICO,EN ESPA\XC3\XB1OL",0.3946169772256728,0.6836734693877551,0.0117647058823529,0.0
67,MEEK MILL,24/7,"EAST COAST,UK,R&;B,RAP",0.9683229813664598,0.5408163265306122,0.1176470588235294,0.0
68,ALI GATIE,IT'S YOU,R&;B,0.7149068322981367,0.7040816326530611,0.0,0.0
69,JASON ALDEAN,REARVIEW TOWN,COUNTRY,0.1294099378881987,0.6836734693877551,0.0352941176470588,0.0
70,LIL BABY,OUT THE MUD,"ATLANTA,TRAP,RAP",0.2302484472049689,0.4163265306122449,0.2164705882352941,0.0
71,"THE CHAINSMOKERS, BEBE REXHA",CALL YOU MINE,"ELECTRONIC POP,EDM,ELECTRO HOUSE,ELECTRO,ELECTRO-POP,ELECTRONIC,DANCE-POP,DANCE,POP",0.0134215500945179,0.673469387755102,0.0235294117647058,0.0
72,"SUMMER WALKER, DRAKE",GIRLS NEED LOVE,"ATLANTA,CANADA,REMIX,R&;B",0.4023602484472049,0.3673469387755101,0.188235294117647,0.0
73,"LUNAY, DADDY YANKEE, BAD BUNNY",SOLTERA,"REGGAETON,LATIN MUSIC,LATIN URBAN,PUERTO RICO,LATIN POP,EN ESPA\XC3\XB1OL,POP",0.1790372670807453,0.7346938775510203,0.0588235294117647,0.0
74,FLORIDA GEORGIA LINE,TALK YOU OUT OF IT,COUNTRY,0.239223602484472,0.7346938775510203,0.1999999999999999,0.0
75,SHAED,TRAMPOLINE,POP,0.7782608695652175,0.7755102040816326,0.0235294117647058,0.0
76,"YELLA BEEZY, GUCCI MANE, QUAVO",BACC AT IT AGAIN,"HIP-HOP,RAP",0.570600414078675,0.7857142857142856,0.0352941176470588,0.0
77,BEYONCE,BEFORE I LET GO,"BOUNCE,COVER,SOUNDTRACK,POP,SOUL POP,SOUL,FUNK,R&;B",0.2925465838509317,0.6530612244897959,0.0941176470588235,0.0
78,DJ KHALED,WISH WISH,"ATLANTA,TRAP,RAP",0.8732919254658386,0.183673469387755,0.0470588235294117,0.0
79,CHRIS YOUNG,RAISED ON COUNTRY,COUNTRY,0.9419254658385092,0.8163265306122448,0.0235294117647058,0.0
80,TRAVIS SCOTT,WAKE UP,"TRAP,R&;B,CANADA,RAP",0.734968944099379,0.2959183673469387,0.0235294117647058,0.0
81,SECH,OTRO TRAGO,"DANCEHALL,REGGAETON,LATIN MUSIC,LATIN URBAN,EN ESPA\XC3\XB1OL,PUERTO RICO,LATIN POP,POP",0.6557763975155281,0.8163265306122448,0.0117647058823529,0.0
82,CHASE RICE,EYES ON YOU,COUNTRY,0.5776397515527951,0.3775510204081632,0.1999999999999999,0.0
83,BRYCE VINE,LA LA LAND,"POP,RAP,HIP-HOP,R&;B",0.6726708074534162,0.8571428571428571,0.0235294117647058,0.0
84,BILLIE EILISH,OCEAN EYES,"ALTERNATIVE DANCE,SYNTH-POP,AMBIENT,INDIE POP,ALTERNATIVE POP,ALTERNATIVE,POP",0.5943581780538303,0.846938775510204,0.188235294117647,0.0
85,MARSHMELLO,HERE WITH ME,"PROGRESSIVE HOUSE,HOUSE,ELECTRO HOUSE,ELECTRONIC POP,ALTERNATIVE POP,ELECTRONIC,DUBSTEP,DANCE,ELECTRO,ELECTRONICA,ELECTRO-POP,EDM,SYNTH-POP,POP",0.2608695652173913,0.3061224489795918,0.1647058823529411,0.0
86,BRETT ELDREDGE,LOVE SOMEONE,COUNTRY,0.7254658385093168,0.520408163265306,0.0941176470588235,0.0
87,LIL UZI VERT,SANGUINE PARADISE,"EAST COAST,TRAP,RAP",0.7719254658385094,0.2755102040816326,0.1058823529411764,0.0
88,ELI YOUNG BAND,LOVE AIN'T,COUNTRY,0.9366459627329192,0.5,0.1058823529411764,0.0
89,"PEDRO CAPO, FARRUKO",CALMA,"PUERTO RICO,REGGAETON,LATIN MUSIC,LATIN POP,LATIN URBAN,REMIX,EN ESPA\XC3\XB1OL,POP",0.6596751075011945,0.7142857142857142,0.1529411764705882,0.0
90,JONAS BROTHERS,ONLY HUMAN,POP,0.9788819875776398,0.9183673469387754,0.0117647058823529,0.0
91,JUSTIN MOORE,THE ONES THAT DIDN'T MAKE IT BACK HOME,COUNTRY,0.8099378881987578,0.9387755102040816,0.0,0.0
92,MEGAN THEE STALLION,BIG OLE FREAK,RAP,0.6937888198757765,0.6530612244897959,0.1176470588235294,0.0
93,NAV,TAP,"CANADA,EAST COAST,RAP",0.7423602484472049,0.8979591836734693,0.0117647058823529,0.0
94,DJ KHALED,YOU STAY,"ATLANTA,R&;B,LATIN MUSIC,EN ESPA\XC3\XB1OL,RAP",0.7062111801242236,0.4387755102040815,0.0235294117647058,0.0
